inchikey_connectivity,molregno,chembl_id,activity_id,assay_id,assay_chembl_id,assay_type,confidence_score,target_chembl_id,target_pref_name,target_type,organism,standard_type,standard_relation,standard_value,standard_units,pchembl_value,doc_id,is_strict
SNICXCGAKADSCV,115,CHEMBL3,88888,143702,CHEMBL756002,B,6,CHEMBL1907596,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,Rattus norvegicus,Ki,=,1.05,nM,8.98,14230,False
SNICXCGAKADSCV,115,CHEMBL3,88889,144182,CHEMBL749563,B,8,CHEMBL4980,Neuronal acetylcholine receptor subunit alpha-7,SINGLE PROTEIN,Rattus norvegicus,Ki,=,4000.0,nM,5.4,14230,True
SNICXCGAKADSCV,115,CHEMBL3,88891,143565,CHEMBL755476,B,6,CHEMBL1907596,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,Rattus norvegicus,EC50,=,4000.0,nM,5.4,14230,False
SNICXCGAKADSCV,115,CHEMBL3,88892,144041,CHEMBL751077,B,8,CHEMBL4980,Neuronal acetylcholine receptor subunit alpha-7,SINGLE PROTEIN,Rattus norvegicus,EC50,=,54000.0,nM,4.27,14230,True
SNICXCGAKADSCV,115,CHEMBL3,88893,216978,CHEMBL822795,B,6,CHEMBL2096975,Acetylcholine receptor,PROTEIN COMPLEX,Torpedo californica,EC50,=,60000.0,nM,4.22,14230,False
SNICXCGAKADSCV,115,CHEMBL3,88899,143541,CHEMBL754719,B,6,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,Homo sapiens,EC50,=,4000.0,nM,5.4,14230,False
SNICXCGAKADSCV,115,CHEMBL3,88900,144023,CHEMBL750438,B,8,CHEMBL2492,Neuronal acetylcholine receptor subunit alpha-7,SINGLE PROTEIN,Homo sapiens,EC50,=,83000.0,nM,4.08,14230,True
SNICXCGAKADSCV,115,CHEMBL3,88901,142599,CHEMBL750565,B,7,CHEMBL1907594,Neuronal acetylcholine receptor; alpha3/beta4,PROTEIN COMPLEX,Homo sapiens,EC50,=,21000.0,nM,4.68,14230,False
SNICXCGAKADSCV,115,CHEMBL3,88903,143563,CHEMBL755335,B,6,CHEMBL1907596,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,Rattus norvegicus,EC50,=,590.0,nM,6.23,14230,False
SNICXCGAKADSCV,115,CHEMBL3,88904,142900,CHEMBL882328,B,5,CHEMBL2094110,Neuronal acetylcholine receptor,PROTEIN COMPLEX GROUP,Rattus norvegicus,EC50,=,20000.0,nM,4.7,14230,False
SNICXCGAKADSCV,115,CHEMBL3,88905,172749,CHEMBL782313,F,1,CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,EC50,=,40.0,nM,7.4,14230,False
SNICXCGAKADSCV,115,CHEMBL3,102324,223077,CHEMBL842925,B,5,CHEMBL2111384,Nicotinic acetylcholine receptor alpha3/betaX,PROTEIN COMPLEX GROUP,Homo sapiens,EC50,=,21000.0,nM,4.68,2962,False
SNICXCGAKADSCV,115,CHEMBL3,110046,142926,CHEMBL748021,B,4,CHEMBL2094110,Neuronal acetylcholine receptor,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,=,8.4,nM,8.08,1070,False
SNICXCGAKADSCV,115,CHEMBL3,199971,142927,CHEMBL748022,B,5,CHEMBL2094110,Neuronal acetylcholine receptor,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,=,2.4,nM,8.62,5731,False
SNICXCGAKADSCV,115,CHEMBL3,201691,143697,CHEMBL754303,B,7,CHEMBL1907596,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,Rattus norvegicus,Ki,=,0.94,nM,9.03,16610,False
SNICXCGAKADSCV,115,CHEMBL3,246683,223066,CHEMBL842916,B,4,CHEMBL2094110,Neuronal acetylcholine receptor,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,=,1.1,nM,8.96,12667,False
SNICXCGAKADSCV,115,CHEMBL3,273309,142911,CHEMBL747856,B,4,CHEMBL2094110,Neuronal acetylcholine receptor,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,=,6.6,nM,8.18,15249,False
SNICXCGAKADSCV,115,CHEMBL3,273310,138903,CHEMBL744135,B,4,CHEMBL1907609,Muscarinic acetylcholine receptor,PROTEIN FAMILY,Rattus norvegicus,IC50,=,32000.0,nM,4.5,15249,False
SNICXCGAKADSCV,115,CHEMBL3,300830,143227,CHEMBL750088,B,7,CHEMBL1907592,Neuronal acetylcholine receptor; alpha2/beta2,PROTEIN COMPLEX,Rattus norvegicus,Ki,=,15.0,nM,7.82,6768,False
SNICXCGAKADSCV,115,CHEMBL3,300831,223074,CHEMBL874099,B,0,CHEMBL612545,Unchecked,UNCHECKED,,Ki,=,130.0,nM,6.89,6768,False
SNICXCGAKADSCV,115,CHEMBL3,300832,143250,CHEMBL752538,B,7,CHEMBL1907587,Neuronal acetylcholine receptor; alpha3/beta2,PROTEIN COMPLEX,Rattus norvegicus,Ki,=,43.0,nM,7.37,6768,False
SNICXCGAKADSCV,115,CHEMBL3,300833,143406,CHEMBL752660,B,7,CHEMBL1907593,Neuronal acetylcholine receptor; alpha3/beta4,PROTEIN COMPLEX,Rattus norvegicus,Ki,=,530.0,nM,6.28,6768,False
SNICXCGAKADSCV,115,CHEMBL3,300834,143730,CHEMBL756126,B,7,CHEMBL1907596,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,Rattus norvegicus,Ki,=,12.0,nM,7.92,6768,False
SNICXCGAKADSCV,115,CHEMBL3,300835,144016,CHEMBL750431,B,7,CHEMBL1907595,Neuronal acetylcholine receptor; alpha4/beta4,PROTEIN COMPLEX,Rattus norvegicus,Ki,=,46.0,nM,7.34,6768,False
SNICXCGAKADSCV,115,CHEMBL3,300836,142928,CHEMBL750358,B,5,CHEMBL2094110,Neuronal acetylcholine receptor,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,=,13.0,nM,7.89,6768,False
SNICXCGAKADSCV,115,CHEMBL3,348710,131297,CHEMBL737886,F,1,CHEMBL375,Mus musculus,ORGANISM,Mus musculus,Kd,=,1.41,nM,8.85,12055,False
SNICXCGAKADSCV,115,CHEMBL3,373605,143090,CHEMBL748740,B,4,CHEMBL2094110,Neuronal acetylcholine receptor,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,=,27.0,nM,7.57,6298,False
SNICXCGAKADSCV,115,CHEMBL3,373606,143881,CHEMBL751864,B,6,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,Homo sapiens,Ki,=,9.1,nM,8.04,6298,False
SNICXCGAKADSCV,115,CHEMBL3,373607,143234,CHEMBL752377,B,6,CHEMBL2109230,Neuronal acetylcholine receptor; alpha2/beta4,PROTEIN COMPLEX,Homo sapiens,Ki,=,103.0,nM,6.99,6298,False
SNICXCGAKADSCV,115,CHEMBL3,373608,143411,CHEMBL750054,B,6,CHEMBL1907594,Neuronal acetylcholine receptor; alpha3/beta4,PROTEIN COMPLEX,Homo sapiens,Ki,=,320.0,nM,6.5,6298,False
SNICXCGAKADSCV,115,CHEMBL3,373609,144019,CHEMBL750434,B,6,CHEMBL1907591,Neuronal acetylcholine receptor; alpha4/beta4,PROTEIN COMPLEX,Homo sapiens,Ki,=,129.0,nM,6.89,6298,False
SNICXCGAKADSCV,115,CHEMBL3,373610,143409,CHEMBL750052,F,6,CHEMBL1907594,Neuronal acetylcholine receptor; alpha3/beta4,PROTEIN COMPLEX,Homo sapiens,EC50,=,4300.0,nM,5.37,6298,False
SNICXCGAKADSCV,115,CHEMBL3,408069,144033,CHEMBL750448,B,8,CHEMBL3365,Neuronal acetylcholine receptor subunit alpha-7,SINGLE PROTEIN,Mus musculus,Ki,=,480.0,nM,6.32,4612,True
SNICXCGAKADSCV,115,CHEMBL3,408070,3445,CHEMBL618130,B,4,CHEMBL2094132,Serotonin 3 (5-HT3) receptor,PROTEIN COMPLEX GROUP,Homo sapiens,Ki,=,71000.0,nM,4.15,4612,False
SNICXCGAKADSCV,115,CHEMBL3,408071,143884,CHEMBL751867,B,6,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,Homo sapiens,Ki,=,2.3,nM,8.64,4612,False
SNICXCGAKADSCV,115,CHEMBL3,408072,143235,CHEMBL752378,B,8,CHEMBL3068,Neuronal acetylcholine receptor subunit alpha-3,SINGLE PROTEIN,Homo sapiens,Ki,=,220.0,nM,6.66,4612,True
SNICXCGAKADSCV,115,CHEMBL3,408073,143098,CHEMBL749348,B,6,CHEMBL1907588,Acetylcholine receptor; alpha1/beta1/delta/gamma,PROTEIN COMPLEX,Homo sapiens,Ki,=,5500.0,nM,5.26,4612,False
SNICXCGAKADSCV,115,CHEMBL3,408075,217792,CHEMBL882443,F,8,CHEMBL2492,Neuronal acetylcholine receptor subunit alpha-7,SINGLE PROTEIN,Homo sapiens,EC50,=,38000.0,nM,4.42,4612,True
SNICXCGAKADSCV,115,CHEMBL3,447587,143219,CHEMBL857546,B,0,CHEMBL612545,Unchecked,UNCHECKED,,IC50,=,4.0,nM,8.4,2725,False
