inchikey_connectivity,n_chembl_molregno,chembl_ids,chembl_natural_product_flag,n_activity_all,n_activity_usable,n_activity_strict
KZJWDPNRJALLNS,5,CHEMBL1398443|CHEMBL1875388|CHEMBL221542|CHEMBL3348885|CHEMBL4278464,True,351,15,5
IPCSVZSSVZVIGE,1,CHEMBL82293,True,286,17,17
ZQPPMHVWECSIRJ,2,CHEMBL460657|CHEMBL8659,True,373,33,24
OYHQOLUKZRVURQ,3,CHEMBL267476|CHEMBL5095085|CHEMBL93204,True,240,35,28
QIQXTHQIDYTFRH,1,CHEMBL46403,True,137,10,10
HCXVJBMSMIARIN,6,CHEMBL1568947|CHEMBL186373|CHEMBL3348954|CHEMBL400247|CHEMBL4764038|CHEMBL66943,True,137,9,2
NPNUFJAVOOONJE,2,CHEMBL445740|CHEMBL448700,True,79,7,3
TUNFSRHWOTWDNC,1,CHEMBL111077,True,137,11,10
CDOSHBSSFJOMGT,3,CHEMBL235672|CHEMBL25306|CHEMBL4452537,True,158,2,0
REFJWTPEDVJJIY,1,CHEMBL50,True,2978,682,263
XMGQYMWWDOXHJM,3,CHEMBL15799|CHEMBL236688|CHEMBL449062,True,506,1,0
BOTWFXYSPFMFNR,2,CHEMBL1644111|CHEMBL390773,True,73,9,1
NVEQFIOZRFFVFW,5,CHEMBL1513806|CHEMBL1553274|CHEMBL399036|CHEMBL479134|CHEMBL508894,True,49,5,1
WQZGKKKJIJFFOK,16,CHEMBL103010|CHEMBL1222152|CHEMBL1222250|CHEMBL1453070|CHEMBL1519430|CHEMBL1614854|CHEMBL1873035|CHEMBL195923|CHEMBL2093058|CHEMBL2115552|CHEMBL300520|CHEMBL3186423|CHEMBL365590|CHEMBL423707|CHEMBL469448|CHEMBL98182,True,195,10,7
WRYLYDPHFGVWKC,2,CHEMBL2287509|CHEMBL507795,True,76,1,0
WUOACPNHFRMFPN,2,CHEMBL447597|CHEMBL449810,True,90,0,0
