plant_index,compound_name_original,pubchem_cid_original,match_type,drop_reason
1,"(1aR,4S,4aS,7R,7aS,7bR)-1,1,4,7-tetramethyl-2,3,4,5,6,7,7a,7b-octahydro-1aH-cyclopropa[h]azulen-4a-ol",,no_match,unresolved_script01_no_match
1,Methyl piperbetol,,no_match,unresolved_script01_no_match
1,Piperol A,,no_match,unresolved_script01_no_match
1,Piperol B,,no_match,unresolved_script01_no_match
2,(+)-Piperenol A,,no_match,unresolved_script01_no_match
2,Artesin[sesquiterpene],,no_match,unresolved_script01_no_match
2,Isohinokinin,,no_match,unresolved_script01_no_match
4,(+/-)-6-Acetonyldihydrosanguinarine,,no_match,unresolved_script01_no_match
4,"(1R,11S,13S)-11,16,17-trimethoxy-6,8,12-trioxa-22-azapentacyclo[11.9.0.02,10.05,9.014,19]docosa-2(10),3,5(9),14,16,18-hexaene",,no_match,unresolved_script01_no_match
4,"(4S,4aR,7S,7aR,12bS)-7,9-dimethoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline",,no_match,unresolved_script01_no_match
4,Cotarnoline,,no_match,unresolved_script01_no_match
4,UNII-Z32OFX7V17 component BDLSDHWCOJPHIE-PEKXWBJKSA-N,,no_match,unresolved_script01_no_match
4,trans-10-Hydroxythebaine,,no_match,unresolved_script01_no_match
5,"(2S)-5-hydroxy-7-methoxy-6-(3-methylbut-2-enyl)-2-(3,4,5-trimethoxyphenyl)-2,3-dihydrochromen-4-one",,no_match,unresolved_script01_no_match
5,(3? -sulfo)Galbeta-Cer(d18:1/18:0(2OH)),,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
5,4-hydroxy-2-oxo-glutaric acid,,no_match,unresolved_script01_no_match
5,Artoheterophyllin F,,no_match,unresolved_script01_no_match
5,Bis (2-ethylhexyl) phthalate,,no_match,unresolved_script01_no_match
5,Cer(d14:1(4E)/20:0(2OH)),,no_match,unresolved_script01_no_match
5,Cistanoside,,no_match,unresolved_script01_no_match
5,DG(16:1(9Z)/0:0/16:1(9Z)) (d5),,no_match,unresolved_script01_no_match
5,Glutaminyl phenylalanine,,no_match,unresolved_script01_no_match
5,Isorenieratene/(Leprotene),,no_match,unresolved_script01_no_match
5,MGDG (16:0/18:1(9Z)),,no_match,unresolved_script01_no_match
5,"PA(O-16:0/17:2(9Z,12Z))",,no_match,unresolved_script01_no_match
5,"PC(14:0/20:3(5Z,8Z,11Z))",,no_match,unresolved_script01_no_match
5,PS(19:0/16:0),,no_match,unresolved_script01_no_match
5,artocarpfuranol,,no_match,unresolved_script01_no_match
5,artoheterophyllin E,,no_match,unresolved_script01_no_match
5,artoheterophyllin G,,no_match,unresolved_script01_no_match
5,artoheterophyllin I,,no_match,unresolved_script01_no_match
5,gamma.-Sitosterol,,no_match,unresolved_script01_no_match
9,Boerhadiffusene,,no_match,unresolved_script01_no_match
9,Boerhavilanostenyl benzoate,,no_match,unresolved_script01_no_match
9,Diffusarotenoid,,no_match,unresolved_script01_no_match
13,Andrachamine,,no_match,unresolved_script01_no_match
13,Andrachcine,,no_match,unresolved_script01_no_match
13,Saponin A,,no_match,unresolved_script01_no_match
14,Chitanone,,no_match,unresolved_script01_no_match
14,Plumbazeylanone,,no_match,unresolved_script01_no_match
27,"(Z,Z)-6,9-cis-3,4-epoxy-nonadecadiene",,no_match,unresolved_script01_no_match
27,"1,2-Benzenedicarboxylic acid, bis(2methylpropyl) ester",,no_match,unresolved_script01_no_match
27,"1-Nitro-.?.-d-arabinofuranose, tetraacetate",,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
27,"1-hydroxy-2,2,6,6-tetramethyl-3- (4-nitroso-1(piperazinylmethyl)-piperidin-4-one",,no_match,unresolved_script01_no_match
27,"1?Norvaline, N?ethoxycarbonyl?, nonyl ester",,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
27,"2,3-Dihydro-3,5-dihydroxy-6-methyl-4 hpyran-4-one",,no_match,unresolved_script01_no_match
27,"2,4 (1H ,3 H}?Pyrimidinedione, 6?iodo?5?methyl?",,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
27,"2,6,10-Trimethyl,14-ethylene-14-pe",,no_match,unresolved_script01_no_match
27,"2,6,10-Trimethyl,14-ethylene-14-pentadecne",,no_match,unresolved_script01_no_match
