compound_name_original,compound_name_query,candidate_cids,candidate_count
(+)-gamma-Gurjunene,(+)-gamma-Gurjunene,15560285|90805|50986224,3
Bornyl acetate,Bornyl acetate,93009|6448|6950274|442460|443131|12097317|44630108,7
Isoyatein,Isoyatein,10787153|14663714,2
cis-Sabinene hydrate,cis-Sabinene hydrate,11744854|20055523|62367|12315152,4
D-Mannoheptulose,D-Mannoheptulose,12600|102926|5459879,3
bismorphine B,bismorphine B,10907908|145865071,2
dl-Narcotine,dl-Narcotine,4544|262535|275196,3
"(25R)-3alpha,7alpha-dihydroxy-5beta-cholestan-27-oyl taurine","(25R)-3alpha,7alpha-dihydroxy-5beta-cholestan-27-oyl taurine",42608426|101953438|162370950,3
Alanyltryptophan,Alanyltryptophan,263474|85362,2
"Ethyl 5,8,11,14,17-icosapentaenoate","Ethyl 5,8,11,14,17-icosapentaenoate",3298|5353613,2
Hebevinoside IV,Hebevinoside IV,180964|53463127|42615450,3
Nicotinic acid mononucleotide,Nicotinic acid mononucleotide,121991|5288991|121992|46878382,4
Zwiebelane B,Zwiebelane B,15811989|85447653,2
Pelargonidin 3-rhamnoside,Pelargonidin 3-rhamnoside,44256696|11464207|14630624,3
"Pelargonidin 3,5-diglucoside","Pelargonidin 3,5-diglucoside",167642|441772,2
Quercetin-3-glucoside,Quercetin-3-glucoside,5280804|25203368,2
Acetoside,Acetoside,5281800|354009|44429837|24978601,4
"Abieta-7,13-dien-18-oic acid","Abieta-7,13-dien-18-oic acid",90895|10569,2
L-(+)-Arabinose,L-(+)-Arabinose,5460291|854,2
Neoisoschaftoside,Neoisoschaftoside,44184147|44257701,2
"Orientin 7,3'-dimethyl ether","Orientin 7,3'-dimethyl ether",184999|44258381|74977811,3
Bergamotene,Bergamotene,521569|6427473|12300069,3
alpha-Santalene,alpha-Santalene,94164|12315252|95359208|98071456,4
Z-Citral,Z-Citral,643779|638011,2
alpha-Fenchol,alpha-Fenchol,439711|15406|6997371|61123|6973643,5
"cis-p-Mentha-2,8-dien-1-ol","cis-p-Mentha-2,8-dien-1-ol",5319363|111274|155626|11105550,4
trans-Linalool oxide,trans-Linalool oxide,6432254|6428573|6431475|22310,4
trans-Sabinene hydrate acetate,trans-Sabinene hydrate acetate,6427504|6430763|132521590,3
Friedelanol,Friedelanol,101341|348029|76316825,3
Germacrene-D,Germacrene-D,5317570|91723653,2
Trans-dihydrocarvone,Trans-dihydrocarvone,22227|443181|443183,3
ar-Curcumene,ar-Curcumene,92139|3083834,2
trans-Dihydrocarvone,trans-Dihydrocarvone,22227|443181|443183,3
Normacusine B,Normacusine B,10469722|11335389|5318845,3
Normavacurine,Normavacurine,6477083|11969908,2
"2,3-(S)-hexahydroxydiphenoyl-D-glucose","2,3-(S)-hexahydroxydiphenoyl-D-glucose",492390|14035453|14035454,3
Stearate,Stearate,3033836|5281,2
Epistephamiersine,Epistephamiersine,91895297|119055150|618347|129317108|102004468,5
Prometaphanine,Prometaphanine,91895299|124222290|129316922,3
Glomeratose A,Glomeratose A,11972358|73157754|129896873|21550830|156612962|169544260,6
Raucaffrinoline,Raucaffrinoline,15599715|56927714|135398114,3
Cyanidin 3-glucoside,Cyanidin 3-glucoside,441667|197081,2
Humulene epoxide,Humulene epoxide,5352470|12014671|101417857,3
Italicene,Italicene,15690922|91747479,2
2-Benzylideneheptanal,2-Benzylideneheptanal,1712058|31209,2
Plumerubroside,Plumerubroside,14757896|44257126,2
Protoplumericin A,Protoplumericin A,102004584|3563944|45359555|5384669|5862036|133561887,6
"((1S,5R,6S)-5-(Benzoyloxy)-1,6-dihydroxy-2-oxocyclohex-3-en-1-yl)methyl benzoate","((1S,5R,6S)-5-(Benzoyloxy)-1,6-dihydroxy-2-oxocyclohex-3-en-1-yl)methyl benzoate",10571940|72786599|126969763|138113755,4
D-(+)-Sucrose octaacetate,D-(+)-Sucrose octaacetate,31340|219904,2
E-Caryophyllene,E-Caryophyllene,5281515|5281522,2
Linoleoylethanolamide,Linoleoylethanolamide,5283446|2183|5353406,3
Pheophorbide a,Pheophorbide a,253193|167186,2
Pheophorbide b,Pheophorbide b,135410869|135426827|159885|135770374,4
cis-Linalool oxide (furanoid),cis-Linalool oxide (furanoid),22310|6428573,2
"methyl 5,12-octadecadienoate","methyl 5,12-octadecadienoate",12255536|85770358,2
(-)-Nortrachelogenin,(-)-Nortrachelogenin,394846|99938|126593347,3
Quercetin 7-O-glucoside,Quercetin 7-O-glucoside,5282160|91820114,2
conhydrin,conhydrin,10314|11744748,2
beta-Sitosterol-d-glucoside,beta-Sitosterol-d-glucoside,5742590|12309060,2
Triterpenoids,Triterpenoids,71597391|78126908,2
"(15alpha,20R)-12,15,20-Trihydroxy-15,20-dihydrosenecionan-11,16-dione","(15alpha,20R)-12,15,20-Trihydroxy-15,20-dihydrosenecionan-11,16-dione",78358487|12096664,2
Phenethyl glucosinolate potassium salt,Phenethyl glucosinolate potassium salt,656555|9548618|4379664,3
Norushinsunine,Norushinsunine,5319820|10378981,2
ar-curcumene,ar-curcumene,92139|3083834,2
