step,scope,count,pct,notes
1_input_unique_molecules,full,200,100.0,Input connectivity layers
1_input_unique_molecules,curated,197,98.5,Curated drug-like organic subset
2_matched_chembl_structure,full,82,41.0,Shared 14-char connectivity layer
2_matched_chembl_structure,curated,81,41.11675126903553,Curated matched to ChEMBL
3_has_any_activity_record,full,75,37.5,At least 1 raw activity record
3_has_any_activity_record,curated,74,37.56345177664975,Curated with raw activity
4_has_usable_activity_record,full,35,17.5,"Usable binding/functional (=, nM, IC50/Ki/Kd/EC50)"
4_has_usable_activity_record,curated,35,17.766497461928935,Curated with usable activity
5_has_strict_activity_record,full,21,10.5,"Strict single-protein target (conf 8-9, B/F)"
5_has_strict_activity_record,curated,21,10.65989847715736,Curated with strict activity
