inchikey_connectivity,molregno,chembl_id,activity_id,assay_id,assay_chembl_id,assay_type,confidence_score,target_chembl_id,target_pref_name,target_type,organism,standard_type,standard_relation,standard_value,standard_units,pchembl_value,doc_id,is_strict
UEQUQVLFIPOEMF,573,CHEMBL6437,74762,3749,CHEMBL620750,B,8,CHEMBL3223,5-hydroxytryptamine receptor 7,SINGLE PROTEIN,Rattus norvegicus,Ki,=,100.0,nM,7.0,17066,True
UEQUQVLFIPOEMF,573,CHEMBL6437,74763,3615,CHEMBL618118,B,9,CHEMBL3371,5-hydroxytryptamine receptor 6,SINGLE PROTEIN,Homo sapiens,Ki,=,55.0,nM,7.26,17066,True
UEQUQVLFIPOEMF,573,CHEMBL6437,74764,3791,CHEMBL619866,B,8,CHEMBL3155,5-hydroxytryptamine receptor 7,SINGLE PROTEIN,Homo sapiens,Ki,=,8010.0,nM,5.1,17066,True
UEQUQVLFIPOEMF,573,CHEMBL6437,81911,184434,CHEMBL789206,F,9,CHEMBL304,Norepinephrine transporter,SINGLE PROTEIN,Rattus norvegicus,Ki,=,26.0,nM,7.58,8324,True
UEQUQVLFIPOEMF,573,CHEMBL6437,145924,194258,CHEMBL795985,F,5,CHEMBL1907610,Adrenergic receptor alpha-1,PROTEIN FAMILY,Rattus norvegicus,Kd,=,3890.45,nM,5.41,8229,False
UEQUQVLFIPOEMF,573,CHEMBL6437,145925,194261,CHEMBL795987,F,5,CHEMBL2093864,Adrenergic receptor alpha-2,PROTEIN FAMILY,Rattus norvegicus,Kd,=,2137.96,nM,5.67,8229,False
UEQUQVLFIPOEMF,573,CHEMBL6437,145926,33552,CHEMBL647811,F,8,CHEMBL229,Alpha-1A adrenergic receptor,SINGLE PROTEIN,Homo sapiens,Kd,=,251.19,nM,6.6,8229,True
UEQUQVLFIPOEMF,573,CHEMBL6437,145928,164466,CHEMBL770732,B,4,CHEMBL1907610,Adrenergic receptor alpha-1,PROTEIN FAMILY,Rattus norvegicus,IC50,=,380.0,nM,6.42,8229,False
UEQUQVLFIPOEMF,573,CHEMBL6437,145929,164468,CHEMBL770734,B,4,CHEMBL2093864,Adrenergic receptor alpha-2,PROTEIN FAMILY,Rattus norvegicus,IC50,=,210.0,nM,6.68,8229,False
UEQUQVLFIPOEMF,573,CHEMBL6437,210052,3786,CHEMBL619862,B,8,CHEMBL3155,5-hydroxytryptamine receptor 7,SINGLE PROTEIN,Homo sapiens,Ki,=,63.1,nM,7.2,17342,True
