inchikey_connectivity,n_chembl_molregno,chembl_ids,chembl_natural_product_flag,n_activity_all,n_activity_usable,n_activity_strict
GCAIEHBYLQNGAF,1,CHEMBL1087008,True,8,0,0
MJSGKSOAYQWXBA,0,,False,0,0,0
CYQFCXCEBYINGO,3,CHEMBL465|CHEMBL4845760|CHEMBL4862731,True,476,92,67
YMNFLKTYCUPAKF,0,,False,0,0,0
KJPUWZVESPGSAG,0,,False,0,0,0
PTJFJXLGRSTECQ,1,CHEMBL1593789,True,1,0,0
SHDPRTQPPWIEJG,0,,False,0,0,0
PPDFQRAASCRJAH,0,,False,0,0,0
ANOXEUSGZWSCQL,3,CHEMBL1711244|CHEMBL1983719|CHEMBL443389,True,83,4,0
UEQUQVLFIPOEMF,3,CHEMBL1329927|CHEMBL252719|CHEMBL6437,True,1259,155,112
QHPQWRBYOIRBIT,1,CHEMBL16217,False,41,2,1
CFHLWYSOOMXQBY,0,,False,0,0,0
FGQLGYBGTRHODR,0,,False,0,0,0
UTCJVDFLMODHQX,0,,False,0,0,0
ZAGUSKAXELYWCE,0,,False,0,0,0
UCONUSSAWGCZMV,1,CHEMBL465718,True,46,7,6
XVOLIFYNNVCOPB,0,,False,0,0,0
NXXYKOUNUYWIHA,1,CHEMBL30106,True,18,2,0
GTJOHISYCKPIMT,0,,False,0,0,0
ODSSDTBFHAYYMD,2,CHEMBL1097034|CHEMBL453802,True,42,5,0
GUMSHIGGVOJLBP,1,CHEMBL3184988,True,0,0,0
FRISMOQHTLZZRP,0,,False,0,0,0
IAYPIBMASNFSPL,1,CHEMBL1743219,True,4,0,0
LGTLDEUQCOJGFP,1,CHEMBL3188009,True,0,0,0
RAKJVIPCCGXHHS,1,CHEMBL350475,True,96,5,4
ANVAOWXLWRTKGA,0,,False,0,0,0
ZYRLCOGVOHEKBK,0,,False,0,0,0
NDOBLXUMYKEAGT,0,,False,0,0,0
HGOZECVJNYXKMC,0,,False,0,0,0
XXFACTAYGKKOQB,0,,False,0,0,0
XOAUNGGNONXOND,0,,False,0,0,0
CWZLMWSCLBFCBY,2,CHEMBL255035|CHEMBL501251,True,33,0,0
GQGAUUMVOCWEFW,1,CHEMBL250269,True,4,1,0
WBNNEYYTBIRMIS,0,,False,0,0,0
SRISWFJLVRCABV,0,,False,0,0,0
TUXHHVJPGQUPCF,1,CHEMBL2007424,True,63,0,0
IGCLXUHNXACQQD,0,,False,0,0,0
LGIKFBYSSJHCQR,0,,False,0,0,0
GQYZDAIERJIQDI,0,,False,0,0,0
BNXZHVUCNYMNOS,0,,False,0,0,0
POVUXBMNAVCSAW,0,,False,0,0,0
VXRAIAAMNNTQES,0,,False,0,0,0
XXHDAWYDNSXJQM,0,,False,0,0,0
SFVUIUUSVAMYPP,0,,False,0,0,0
DUYRYUZIBGFLDD,1,CHEMBL455046,True,4,0,0
XBNHWTBTLQIXHU,0,,False,0,0,0
QSOLQDIOEJREPU,0,,False,0,0,0
YOVSPTNQHMDJAG,1,CHEMBL2287242,True,2,0,0
KAYVDASZRFLFRZ,2,CHEMBL483708|CHEMBL525259,True,29,2,0
YMTINGFKWWXKFG,1,CHEMBL672,True,4678,64,44
RHGHBLSDPQFOTE,0,,False,0,0,0
AVHGSHJBWASVAK,0,,False,0,0,0
PPZSOILKWHVNNS,1,CHEMBL259121,False,2,0,0
FPRDBFWVOJWDMI,0,,False,0,0,0
VLJLXEKIAALSJE,0,,False,0,0,0
QXJJAJKLJQGYSE,0,,False,0,0,0
VKGZCEJTCKHMRL,0,,False,0,0,0
