inchikey_connectivity,smiles_flat,smiles_standardized,inchikey,stereo_resolved,n_stereoisomer_forms,n_plants,plant_indices,n_source_rows,heavy_atom_count,molecular_weight,molecular_formula,is_inorganic,has_metal,too_small,too_large,is_mixture,tautomer_failed,charge_remaining,compound_names
FSLPMRQHCOLESF,CC1CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,FSLPMRQHCOLESF-SFMCKYFRSA-N,True,1,3,21|299|810,3,31,426.3862,C30H50O,False,False,False,False,False,False,False,Cycloartenol|alpha-Amyrin
YMBFCQPIMVLNIU,CC(C)=CCCC1(C)C2CC=C(C)C1C2,CC(C)=CCC[C@]1(C)[C@H]2CC=C(C)[C@@H]1C2,YMBFCQPIMVLNIU-SOUVJXGZSA-N,True,1,2,74|368,2,15,204.1878,C15H24,False,False,False,False,False,False,False,?-bergamotene|trans-alpha-Bergamotene
IYRMWMYZSQPJKC,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IYRMWMYZSQPJKC-UHFFFAOYSA-N,True,1,2,299|374,2,21,286.0477,C15H10O6,False,False,False,False,False,False,False,Kaempferol
IGGUPRCHHJZPBS,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,IGGUPRCHHJZPBS-UHFFFAOYSA-N,True,1,2,207|449,2,29,408.4695,C29H60,False,False,False,False,False,False,False,Nonacosane
AYXPYQRXGNDJFU,CC1CCC2C1C1C(CCC2(C)O)C1(C)C,,,False,2,2,2|492,2,16,222.1984,C15H26O,False,False,False,False,False,False,False,Ledol
LNTHITQWFMADLM,O=C(O)c1cc(O)c(O)c(O)c1,O=C(O)c1cc(O)c(O)c(O)c1,LNTHITQWFMADLM-UHFFFAOYSA-N,True,1,2,386|396,2,12,170.0215,C7H6O5,False,False,False,False,False,False,False,Gallic acid|gallic acid
OFMXGFHWLZPCFL,CC1C(=O)CCC2C1(C)CCC1C2(C)CCC2(C)C3CC(C)(C)CCC3(C)CCC12C,CC1C(=O)CC[C@H]2[C@]3(C)CC[C@@]4(C)[C@@H]5CC(C)(C)CC[C@]5(C)CC[C@]4(C)[C@H]3CC[C@]12C,OFMXGFHWLZPCFL-PYGJGCAISA-N,True,1,2,78|336,2,31,426.3862,C30H50O,False,False,False,False,False,False,False,Friedelin|friedelin
FRMCCTDTYSRUBE,C=C1CCC2C(C3C1CCC3(C)O)C2(C)C,C=C1CC[C@@H]2[C@H]([C@H]3[C@H]1CC[C@]3(C)O)C2(C)C,FRMCCTDTYSRUBE-BGPZULBFSA-N,True,1,2,116|497,2,16,220.1827,C15H24O,False,False,False,False,False,False,False,(?)-Spathulenol|Spathulenol
WEEGYLXZBRQIMU,CC12CCC(CC1)C(C)(C)O2,CC12CCC(CC1)C(C)(C)O2,WEEGYLXZBRQIMU-UHFFFAOYSA-N,True,1,2,630|702,2,11,154.1358,C10H18O,False,False,False,False,False,False,False,"1,8-cineole/eucalyptol|Eucalyptol"
YCOZIPAWZNQLMR,CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCC,YCOZIPAWZNQLMR-UHFFFAOYSA-N,True,1,2,497|749,2,15,212.2504,C15H32,False,False,False,False,False,False,False,Pentadecane|n-Pentadecane
RHLVCLIPMVJYKS,CCCCCC(=O)CC,CCCCCC(=O)CC,RHLVCLIPMVJYKS-UHFFFAOYSA-N,True,1,2,283|346,2,9,128.1201,C8H16O,False,False,False,False,False,False,False,3-Octanone
ZQPPMHVWECSIRJ,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCCCC/C=C\CCCCCCCC(=O)O,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,True,1,2,299|374,2,20,282.2559,C18H34O2,False,False,False,False,False,False,False,9-Octadecenoic acid (z)-|Oleic acid
WONIGEXYPVIKFS,CC1=CC(O)C2CC1C2(C)C,,,False,2,2,68|635,2,11,152.1201,C10H16O,False,False,False,False,False,False,False,(S)-cis-Verbenol|trans-Verbenol
FFWSICBKRCICMR,CC(=O)CCC(C)C,CC(=O)CCC(C)C,FFWSICBKRCICMR-UHFFFAOYSA-N,True,1,1,867,1,8,114.1045,C7H14O,False,False,False,False,False,False,False,5-Methyl-2-hexanone
ICZUVYVOFBMBPM,Cc1ccccc1SCSc1ccccc1C,Cc1ccccc1SCSc1ccccc1C,ICZUVYVOFBMBPM-UHFFFAOYSA-N,True,1,1,94,1,17,260.0693,C15H16S2,False,False,False,False,False,False,False,Bis (2-methylphenylthio)-methane
HSEMFIZWXHQJAE,CCCCCCCCCCCCCCCC(N)=O,CCCCCCCCCCCCCCCC(N)=O,HSEMFIZWXHQJAE-UHFFFAOYSA-N,True,1,1,16,1,18,255.2562,C16H33NO,False,False,False,False,False,False,False,Palmitamide
GHXZTYHSJHQHIJ,N=C(N=C(N)NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,N=C(N=C(N)NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,True,1,1,386,1,34,504.2032,C22H30Cl2N10,False,False,False,False,False,False,False,Chlorhexidine
NTOPKICPEQUPPH,COc1nccnc1C(C)C,COc1nccnc1C(C)C,NTOPKICPEQUPPH-UHFFFAOYSA-N,True,1,1,346,1,11,152.0950,C8H12N2O,False,False,False,False,False,False,False,3-isopropyl-2- methoxypyrazine
DLKOUKNODPCIHZ,O=C(C=CC=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,O=C(/C=C/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,DLKOUKNODPCIHZ-UMYWTXKFSA-N,True,1,1,307,1,23,311.1521,C19H21NO3,False,False,False,False,False,False,False,"(2E,4E,6E)-7-(2H-1,3-benzodioxol-5-yl)-1-(piperidin-1-yl)hepta-2,4,6-trien-1-one"
CXHUKRKXPXTKLK,COc1ccc(O)c(-c2ccncn2)c1,COc1ccc(O)c(-c2ccncn2)c1,CXHUKRKXPXTKLK-UHFFFAOYSA-N,True,1,1,116,1,15,202.0742,C11H10N2O2,False,False,False,False,False,False,False,"Pyrimidine, 4-(2-hydroxy-5-methoxyphenyl)-"
ZQIULKXWJGSFAC,C=C(CO)C1CCC2(C)CCC3(C)C(=CCC4C5(C)C=CC(=O)C(C)(C)C5CCC43C)C12,C=C(CO)C1CCC2(C)CCC3(C)C(=CCC4C5(C)C=CC(=O)C(C)(C)C5CCC43C)C12,ZQIULKXWJGSFAC-UHFFFAOYSA-N,True,1,1,78,1,32,436.3341,C30H44O2,False,False,False,False,False,False,False,manglupenone
GRTOGORTSDXSFK,COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,GRTOGORTSDXSFK-DLLGKBFGSA-N,True,1,1,878,1,26,352.1787,C21H24N2O3,False,False,False,False,False,False,False,Tetrahydroalstonine
IUJAMGNYPWYUPM,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,IUJAMGNYPWYUPM-UHFFFAOYSA-N,True,1,1,715,1,31,436.5008,C31H64,False,False,False,False,False,False,False,Hentriacontane
PNVTXOFNJFHXOK,C=C1CCC(C(=C)C)CC1O,C=C1CCC(C(=C)C)CC1O,PNVTXOFNJFHXOK-UHFFFAOYSA-N,True,1,1,70,1,11,152.1201,C10H16O,False,False,False,False,False,False,False,trans-lsocarveol
MQYXUWHLBZFQQO,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,MQYXUWHLBZFQQO-QGTGJCAVSA-N,True,1,1,765,1,31,426.3862,C30H50O,False,False,False,False,False,False,False,Lupeol
DNXKABMLNDEGAE,CCCCCCCCC=CCOC(=O)CCCC,CCCCCCCC/C=C/COC(=O)CCCC,DNXKABMLNDEGAE-OUKQBFOZSA-N,True,1,1,602,1,18,254.2246,C16H30O2,False,False,False,False,False,False,False,"Valeric acid, undec-2-enyl ester"
AMMHVZAJNHFTCZ,CCC(C)(C)CC(CCC1CCCCC1)C1CCCCC1,CCC(C)(C)CC(CCC1CCCCC1)C1CCCCC1,AMMHVZAJNHFTCZ-UHFFFAOYSA-N,True,1,1,27,1,21,292.3130,C21H40,False,False,False,False,False,False,False,"Cyclohexane,1,1'-[1-(2,2-dimethylbutyl)-1,3 propanediyl]bis"
FCXPVFLEDIQLLO,CCCCCCCCCCCC(C)c1ccccc1,CCCCCCCCCCCC(C)c1ccccc1,FCXPVFLEDIQLLO-UHFFFAOYSA-N,True,1,1,27,1,19,260.2504,C19H32,False,False,False,False,False,False,False,2-Phenyltridecane
RZJRJXONCZWCBN,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC,RZJRJXONCZWCBN-UHFFFAOYSA-N,True,1,1,308,1,18,254.2974,C18H38,False,False,False,False,False,False,False,Octadecane
OPFTUNCRGUEPRZ,C=CC1(C)CCC(C(=C)C)CC1C(=C)C,C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C,OPFTUNCRGUEPRZ-QLFBSQMISA-N,True,1,1,661,1,15,204.1878,C15H24,False,False,False,False,False,False,False,beta-Elemene
HCXVJBMSMIARIN,CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,HCXVJBMSMIARIN-PHZDYDNGSA-N,True,1,1,793,1,30,412.3705,C29H48O,False,False,False,False,False,False,False,Stigmasterol
GZVRDNACRGJZNW,CC(=O)c1cc2c(cc(O)c3c(=O)c4ccccc4n(C)c32)o1,CC(=O)c1cc2c(cc(O)c3c(=O)c4ccccc4n(C)c32)o1,GZVRDNACRGJZNW-UHFFFAOYSA-N,True,1,1,739,1,23,307.0845,C18H13NO4,False,False,False,False,False,False,False,Hallacridone
ASUAYTHWZCLXAN,CC(C)=CCO,CC(C)=CCO,ASUAYTHWZCLXAN-UHFFFAOYSA-N,True,1,1,283,1,6,86.0732,C5H10O,False,False,False,False,False,False,False,3-Methyl-2-buten-1-OL
FTVWIRXFELQLPI,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,FTVWIRXFELQLPI-UHFFFAOYSA-N,True,1,1,872,1,20,272.0685,C15H12O5,False,False,False,False,False,False,False,(+/-)-Naringenin
ORAACLXPCXANOZ,C=C1CCC2C3C(C(C)C)C(O)CC2(C)C13,C=C1CC[C@@H]2[C@H]3[C@@H](C(C)C)[C@H](O)CC2(C)[C@H]13,ORAACLXPCXANOZ-LOGRNBMNSA-N,True,1,1,906,1,16,220.1827,C15H24O,False,False,False,False,False,False,False,beta-Copaene-4alpha-ol
IVTQSEFLDHBCDZ,CC1CCC2C(C)(C)CC=CC2(C)O1,C[C@H]1CC[C@@H]2C(C)(C)CC=C[C@@]2(C)O1,IVTQSEFLDHBCDZ-DMDPSCGWSA-N,True,1,1,715,1,14,194.1671,C13H22O,False,False,False,False,False,False,False,Dihydroedulan I
MGSRCZKZVOBKFT,Cc1ccc(C(C)C)c(O)c1,Cc1ccc(C(C)C)c(O)c1,MGSRCZKZVOBKFT-UHFFFAOYSA-N,True,1,1,624,1,11,150.1045,C10H14O,False,False,False,False,False,False,False,Thymol
CAHGCLMLTWQZNJ,CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,CAHGCLMLTWQZNJ-BQNIITSRSA-N,True,1,1,761,1,31,426.3862,C30H50O,False,False,False,False,False,False,False,lanosterol
HVYWMOMLDIMFJA,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,HVYWMOMLDIMFJA-DPAQBDIFSA-N,True,1,1,603,1,28,386.3549,C27H46O,False,False,False,False,False,False,False,Cholesterol
GFJIQNADMLPFOW,C=CC1(C)CCC(C(C)(C)O)CC1C(=C)C,C=C[C@]1(C)CC[C@@H](C(C)(C)O)C[C@H]1C(=C)C,GFJIQNADMLPFOW-VNHYZAJKSA-N,True,1,1,128,1,16,222.1984,C15H26O,False,False,False,False,False,False,False,Elemol
YEJRWHAVMIAJKC,O=C1CCCO1,O=C1CCCO1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,True,1,1,287,1,6,86.0368,C4H6O2,False,False,False,False,False,False,False,gamma-Butyrolactone
NUZVLYNISQOZOW,CC(C)(C)c1ccc(C(C)(C)C)c(N)c1,CC(C)(C)c1ccc(C(C)(C)C)c(N)c1,NUZVLYNISQOZOW-UHFFFAOYSA-N,True,1,1,447,1,15,205.1830,C14H23N,False,False,False,False,False,False,False,"2,5-Di-tert-butylaniline"
RUVINXPYWBROJD,CC=Cc1ccc(OC)cc1,C/C=C\c1ccc(OC)cc1,RUVINXPYWBROJD-ARJAWSKDSA-N,True,1,1,74,1,11,148.0888,C10H12O,False,False,False,False,False,False,False,cis-Anethole
NWKFECICNXDNOQ,c1ccc(-c2ccc3ccccc3[o+]2)cc1,c1ccc(-c2ccc3ccccc3[o+]2)cc1,NWKFECICNXDNOQ-UHFFFAOYSA-N,True,1,1,498,1,16,207.0804,C15H11O+,False,False,False,False,False,False,True,Anthocyanins
XXKXCRGLMFAXTK,C=C1CCC(O)C(C)(C)C1CCC(C)=CCOc1ccc2ccc(=O)oc2c1,C=C1CC[C@H](O)C(C)(C)[C@@H]1CC/C(C)=C/COc1ccc2ccc(=O)oc2c1,XXKXCRGLMFAXTK-NOWJHPSZSA-N,True,1,1,75,1,28,382.2144,C24H30O4,False,False,False,False,False,False,False,Franesiferol B
FUZABTYGEVJEPT,CC1CCC2C(C)(C)C3CC12CC=C3CO,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC=C3CO,FUZABTYGEVJEPT-HTUGSXCWSA-N,True,1,1,794,1,16,220.1827,C15H24O,False,False,False,False,False,False,False,Cedr-8-en-15-ol
UCQHFDKBUHCAFR,CC(C)=CCCC(C)C12CC=C(C)C1C2,CC(C)=CCC[C@@H](C)[C@]12CC=C(C)[C@H]1C2,UCQHFDKBUHCAFR-RBSFLKMASA-N,True,1,1,368,1,15,204.1878,C15H24,False,False,False,False,False,False,False,sesquithujene
IPCSVZSSVZVIGE,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,True,1,1,43,1,18,256.2402,C16H32O2,False,False,False,False,False,False,False,Palmitic acid
JPUKWEQWGBDDQB,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,JPUKWEQWGBDDQB-QSOFNFLRSA-N,True,1,1,257,1,32,448.1006,C21H20O11,False,False,False,False,False,False,False,Kaempferol 3-O-beta-D-glucoside
OJEFBZMKKJTKKK,CC(C)=CC(=O)C=C(C)C1CC=C(C)CC1,CC(C)=CC(=O)C=C(C)C1CC=C(C)CC1,OJEFBZMKKJTKKK-UHFFFAOYSA-N,True,1,1,629,1,16,218.1671,C15H22O,False,False,False,False,False,False,False,(E)-Atlantone
ZXABMDQSAABDMG,C=CCOC=C,C=CCOC=C,ZXABMDQSAABDMG-UHFFFAOYSA-N,True,1,1,114,1,6,84.0575,C5H8O,False,False,False,False,False,False,False,"1-Propene, 3-(ethenyloxy)-"
HEKGWBIGPAUHQK,CC1(C)OC(CC(=O)O)C2(C)C1CC(=O)C1(C)C2CCC2(C)C(c3ccoc3)OC(=O)C3OC321,CC1(C)O[C@@H](CC(=O)O)[C@]2(C)[C@H]3CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C5O[C@]54[C@]3(C)C(=O)C[C@@H]12,HEKGWBIGPAUHQK-UJGMWLHVSA-N,True,1,1,70,1,34,472.2097,C26H32O8,False,False,False,False,False,False,False,Isoobacunoic acid
SSJXIUAHEKJCMH,NC1CCCCC1N,N[C@@H]1CCCC[C@H]1N,SSJXIUAHEKJCMH-PHDIDXHHSA-N,True,1,1,721,1,8,114.1157,C6H14N2,False,False,False,False,False,False,False,"(1R,2R)-(-)-1,2-diaminocyclohexane"
JXZQZARENYGJMK,CC(C)=CCCC(C)C1=CCC(C)=CC1,CC(C)=CCCC(C)C1=CCC(C)=CC1,JXZQZARENYGJMK-UHFFFAOYSA-N,True,1,1,799,1,15,204.1878,C15H24,False,False,False,False,False,False,False,?-Curcumene
