plant_index,inchikey_connectivity,compound_name_original,resolution_method,match_type,source_page_url
867,FFWSICBKRCICMR,5-Methyl-2-hexanone,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Carica+PAPAYA
94,ICZUVYVOFBMBPM,Bis (2-methylphenylthio)-methane,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Abrus+PRECATORIUS
16,HSEMFIZWXHQJAE,Palmitamide,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Mesua+ferrea
386,GHXZTYHSJHQHIJ,Chlorhexidine,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Mimusops+ELENGI
346,NTOPKICPEQUPPH,3-isopropyl-2- methoxypyrazine,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Ocimum+tenuiflorum
307,DLKOUKNODPCIHZ,"(2E,4E,6E)-7-(2H-1,3-benzodioxol-5-yl)-1-(piperidin-1-yl)hepta-2,4,6-trien-1-one",name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Piper+NIGRUM
116,CXHUKRKXPXTKLK,"Pyrimidine, 4-(2-hydroxy-5-methoxyphenyl)-",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Ageratum+CONYZOIDES
78,ZQIULKXWJGSFAC,manglupenone,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Holarrhena+pubescens
878,GRTOGORTSDXSFK,Tetrahydroalstonine,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Catharanthus+roseus
715,IUJAMGNYPWYUPM,Hentriacontane,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Anacardium+OCCIDENTALE
70,PNVTXOFNJFHXOK,trans-lsocarveol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Citrus+reticulata
765,MQYXUWHLBZFQQO,Lupeol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Benincasa+HISPIDA
602,DNXKABMLNDEGAE,"Valeric acid, undec-2-enyl ester",name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Desmodium+GANGETICUM
27,AMMHVZAJNHFTCZ,"Cyclohexane,1,1'-[1-(2,2-dimethylbutyl)-1,3 propanediyl]bis",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Moringa+oleifera
27,FCXPVFLEDIQLLO,2-Phenyltridecane,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Moringa+oleifera
74,YMBFCQPIMVLNIU,trans-alpha-Bergamotene,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Carum+carvi
299,IYRMWMYZSQPJKC,Kaempferol,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Plumeria+RUBRA
308,RZJRJXONCZWCBN,Octadecane,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Piper+LONGUM
661,OPFTUNCRGUEPRZ,beta-Elemene,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Coriandrum+SATIVUM
793,HCXVJBMSMIARIN,Stigmasterol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Calotropis+GIGANTEA
21,FSLPMRQHCOLESF,Cycloartenol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Benincasa+hispida
739,GZVRDNACRGJZNW,Hallacridone,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Artocarpus+HETEROPHYLLUS
283,ASUAYTHWZCLXAN,3-Methyl-2-buten-1-OL,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Punica+GRANATUM
207,IGGUPRCHHJZPBS,Nonacosane,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Syzygium+CUMINI
872,FTVWIRXFELQLPI,(+/-)-Naringenin,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Cassia+FISTULA
906,ORAACLXPCXANOZ,beta-Copaene-4alpha-ol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Cinnamomum+TAMALA
715,IVTQSEFLDHBCDZ,Dihydroedulan I,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Anacardium+OCCIDENTALE
299,FSLPMRQHCOLESF,alpha-Amyrin,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Plumeria+RUBRA
624,MGSRCZKZVOBKFT,Thymol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Cymbopogon+CITRATUS
761,CAHGCLMLTWQZNJ,lanosterol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Bauhinia+PURPUREA
2,AYXPYQRXGNDJFU,Ledol,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Piper+cubeba
603,HVYWMOMLDIMFJA,Cholesterol,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Derris+TRIFOLIATA
386,LNTHITQWFMADLM,gallic acid,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Mimusops+ELENGI
128,GFJIQNADMLPFOW,Elemol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Zingiber+ZERUMBET
287,YEJRWHAVMIAJKC,gamma-Butyrolactone,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Psidium+GUAJAVA
447,NUZVLYNISQOZOW,"2,5-Di-tert-butylaniline",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Lantana+CAMARA
78,OFMXGFHWLZPCFL,friedelin,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Holarrhena+pubescens
74,RUVINXPYWBROJD,cis-Anethole,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Carum+carvi
498,NWKFECICNXDNOQ,Anthocyanins,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Hibiscus+ROSA-SINENSIS
75,XXKXCRGLMFAXTK,Franesiferol B,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Ferula+foetida
497,FRMCCTDTYSRUBE,(?)-Spathulenol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Hibiscus+SABDARIFFA
449,IGGUPRCHHJZPBS,Nonacosane,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Lagerstroemia+speciosa
794,FUZABTYGEVJEPT,Cedr-8-en-15-ol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Calotropis+PROCERA
368,UCQHFDKBUHCAFR,sesquithujene,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Murraya+PANICULATA
43,IPCSVZSSVZVIGE,Palmitic acid,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Lagerstroemia+speciosa
257,JPUKWEQWGBDDQB,Kaempferol 3-O-beta-D-glucoside,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Saraca+ASOCA
629,OJEFBZMKKJTKKK,(E)-Atlantone,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Curcuma+LONGA
702,WEEGYLXZBRQIMU,"1,8-cineole/eucalyptol",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Alpinia+NIGRA
114,ZXABMDQSAABDMG,"1-Propene, 3-(ethenyloxy)-",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Aegle+MARMELOS
497,YCOZIPAWZNQLMR,n-Pentadecane,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Hibiscus+SABDARIFFA
70,HEKGWBIGPAUHQK,Isoobacunoic acid,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Citrus+reticulata
721,SSJXIUAHEKJCMH,"(1R,2R)-(-)-1,2-diaminocyclohexane",name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Annona+RETICULATA
396,LNTHITQWFMADLM,Gallic acid,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Melochia+CORCHORIFOLIA
810,FSLPMRQHCOLESF,alpha-Amyrin,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Sida+acuta
799,JXZQZARENYGJMK,?-Curcumene,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Cannabis+SATIVA
497,BZUNJUAMQZRJIP,15-Hydroxypentadecanoic acid,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Hibiscus+SABDARIFFA
749,OASZMKFGOOQRNQ,7-Chloro-2-cyclohexyl-4[3H]quinazolinone,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Azadirachta+INDICA
200,BJDRPQVYYLFRJI,"l-(+)-Ascorbic acid 2,6-dihexadecanoate",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Tamarindus+INDICA
151,VLXDPFLIRFYIME,"(1S,2S,6S,7R,8R)-1,3-dimethyl-8-propan-2-yltricyclo[4.4.0.02,7]dec-3-ene",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Vitex+NEGUNDO
70,LHGVFZTZFXWLCP,2-methoxy- 4-vinylphenol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Citrus+reticulata
49,PVNIIMVLHYAWGP,Nicotinic acid,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Sesamum+indicum
872,GRBHNQFQFHLCHO,Lup-20(29)-en-3-one,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Cassia+FISTULA
307,ACOBBFVLNKYODD,Methyl geranate,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Piper+NIGRUM
389,IQPNAANSBPBGFQ,Luteolin,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Michelia+CHAMPACA
70,VAMXMNNIEUEQDV,Methyl anthranilate,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Citrus+reticulata
308,VABYUUZNAVQNPG,Piperlongumine,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Piper+LONGUM
78,GNRIZKKCNOBBMO,Mangostin,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Holarrhena+pubescens
498,AZQWKYJCGOJGHM,"Benzo-1,4-quinone",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Hibiscus+ROSA-SINENSIS
386,OKKJLVBELUTLKV,methanol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Mimusops+ELENGI
628,IFJYSOWCCJPUJS,"6,9-Guaiadiene",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Curcuma+ZEDOARIA
865,QZZGJDVWLFXDLK,Tetracosanoic acid,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Cardiospermum+HALICACABUM
497,DOFJNFPSMUCECH,5-O-Desmethylnobiletin,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Hibiscus+SABDARIFFA
497,FJKIXWOMBXYWOQ,"Ethene, ethoxy-",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Hibiscus+SABDARIFFA
492,AYXPYQRXGNDJFU,Ledol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Homalomena+aromatica
287,MFTSECOLKFLUSD,Hexahydroxydiphenic acid,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Psidium+GUAJAVA
878,FBWMYSQUTZRHAT,"9,12-Octadecadienoyl chloride",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Catharanthus+roseus
374,SWELIMKTDYHAOY,"4(1H)-Pyrimidinone, 2,6-diamino-",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Moringa+OLEIFERA
906,WBYWAXJHAXSJNI,cis-Cinnamic acid,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Cinnamomum+TAMALA
897,WUEBMGULUIGVLC,"Benzene,1-(1-Buten-3-yl)-2-vinyl",direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Centella+ASIATICA
867,UIJGNTRUPZPVNG,Thiobenzoic acid,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Carica+PAPAYA
70,FOEWNRTZASNZJY,5-dodecen-1-ol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Citrus+reticulata
796,KZNIFHPLKGYRTM,Apigenin,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Camellia+sinensis
843,YCIMNLLNPGFGHC,o-Dihydroxyphenol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Bougainvillea+spectabilis
192,YGVHOSGNOYKRIH,chebulinic acid,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Terminalia+CHEBULA
699,RXBQNMWIQKOSCS,Myrtenol,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Alpinia+CALCARATA
253,SECPZKHBENQXJG,Palmitoleic acid,name_lookup_exact_match,exact_match,https://bmppd.org/bmppd_result/?q=Schleichera+OLEOSA
346,RHLVCLIPMVJYKS,3-Octanone,direct_pubchem_cid,CID-based,https://bmppd.org/bmppd_result/?q=Ocimum+tenuiflorum
