inchikey_connectivity,split,n_records,median_pchembl,min_pchembl,max_pchembl,conflict_T6,conflict_T5,label_T6,label_T5
AACXOSPRTYPFDW,training_pool,1,7.22,7.22,7.22,False,False,1.0,1.0
AAJWNKYPFIYQOB,training_pool,1,4.1,4.1,4.1,False,False,0.0,0.0
AALGZYJPWKHVMZ,training_pool,1,5.54,5.54,5.54,False,False,0.0,1.0
AALLYEKQMKRVGR,training_pool,1,7.3,7.3,7.3,False,False,1.0,1.0
AANGRZCRYIIUFF,training_pool,1,6.28,6.28,6.28,False,False,1.0,1.0
AAPPTVQRFKMVTR,training_pool,2,6.5600000000000005,6.4,6.72,False,False,1.0,1.0
AAQVDQQUMVQDBX,training_pool,1,4.86,4.86,4.86,False,False,0.0,0.0
AAVJWYXBVYXAAN,training_pool,1,7.05,7.05,7.05,False,False,1.0,1.0
AAXDKCSQCFEDKK,training_pool,1,4.5,4.5,4.5,False,False,0.0,0.0
ABDAUFMYOKGPIF,training_pool,1,6.8,6.8,6.8,False,False,1.0,1.0
ABFBGNCEKVSSJD,training_pool,1,6.48,6.48,6.48,False,False,1.0,1.0
ABNWMVURYILCJQ,training_pool,1,5.75,5.75,5.75,False,False,0.0,1.0
ACFQQDXFCVFBIX,training_pool,1,6.34,6.34,6.34,False,False,1.0,1.0
ACGUYXCXAPNIKK,training_pool,1,6.19,6.19,6.19,False,False,1.0,1.0
ACIVDDKOOVHSGS,training_pool,1,7.7,7.7,7.7,False,False,1.0,1.0
ACMHHODLBDGSDF,training_pool,1,6.36,6.36,6.36,False,False,1.0,1.0
ACPCOBLVSWWIKM,training_pool,1,7.37,7.37,7.37,False,False,1.0,1.0
ACTXCQHXPKCRIZ,training_pool,1,7.43,7.43,7.43,False,False,1.0,1.0
ACVGWSKVRYFWRP,training_pool,2,6.535,6.52,6.55,False,False,1.0,1.0
ACXKDXTUVJOMKX,training_pool,1,5.86,5.86,5.86,False,False,0.0,1.0
