inchikey_connectivity,split,n_records,median_pchembl,min_pchembl,max_pchembl,conflict_T6,conflict_T5,label_T6,label_T5
AAFQEIUAVWYQTJ,training_pool,3,5.93,5.78,6.24,False,False,0.0,1.0
AAJPMPHDJZLUEE,training_pool,1,5.12,5.12,5.12,False,False,0.0,1.0
AAMOMFNMMXXVGM,training_pool,1,4.92,4.92,4.92,False,False,0.0,0.0
AAPDUULDKMVVIH,training_pool,1,5.52,5.52,5.52,False,False,0.0,1.0
AATWPLNNZKLWEK,training_pool,1,4.75,4.75,4.75,False,False,0.0,0.0
AAYRLSBHIQVGME,training_pool,1,4.66,4.66,4.66,False,False,0.0,0.0
ABDIJUBDZNYCOU,training_pool,1,5.95,5.95,5.95,False,False,0.0,1.0
ABIKCCYQDZLOLO,training_pool,1,4.68,4.68,4.68,False,False,0.0,0.0
ABOKCGLYBDRXTG,training_pool,2,4.67,4.67,4.67,False,False,0.0,0.0
ABSJQRQXPUIGHS,training_pool,1,5.25,5.25,5.25,False,False,0.0,1.0
ABVLEDJVQBYJHS,training_pool,1,4.16,4.16,4.16,False,False,0.0,0.0
ABWCZVWLCRRWNY,training_pool,1,7.55,7.55,7.55,False,False,1.0,1.0
ABZIBKADQGGRHA,training_pool,2,5.09,5.09,5.09,False,False,0.0,1.0
ACGHLMNRRAVGJC,training_pool,3,4.83,4.82,4.83,False,False,0.0,0.0
ACMUWEPQJZXNBW,training_pool,1,8.22,8.22,8.22,False,False,1.0,1.0
ACPDCAZGLJOIML,training_pool,1,4.7,4.7,4.7,False,False,0.0,0.0
ACQBHJXEAYTHCY,training_pool,1,4.96,4.96,4.96,False,False,0.0,0.0
ACQQSVLNYFFGER,training_pool,1,7.28,7.28,7.28,False,False,1.0,1.0
ACWFOKNSHMVIEB,training_pool,1,4.57,4.57,4.57,False,False,0.0,0.0
ADCBAOTWERXLAP,training_pool,6,8.32,7.24,9.57,False,False,1.0,1.0
ADEZIYQYXOGZGX,training_pool,1,5.82,5.82,5.82,False,False,0.0,1.0
ADGJTUDRZPNOEL,training_pool,1,5.85,5.85,5.85,False,False,0.0,1.0
ADMMGQSIWCCWJV,training_pool,2,5.52,5.23,5.81,False,False,0.0,1.0
ADOILJDDWHXCPR,training_pool,1,5.42,5.42,5.42,False,False,0.0,1.0
ADQNOUWIKWXCLC,training_pool,1,7.55,7.55,7.55,False,False,1.0,1.0
AELCINSCMGFISI,training_pool,12,5.355,4.7,6.57,True,True,,
AELRIIWOPYJACK,training_pool,2,4.75,4.75,4.75,False,False,0.0,0.0
AEMCQFIASFSOJM,training_pool,1,4.69,4.69,4.69,False,False,0.0,0.0
AFCJXGJLLQVESI,training_pool,1,4.72,4.72,4.72,False,False,0.0,0.0
AFDHBPNJHIYBKV,training_pool,1,5.68,5.68,5.68,False,False,0.0,1.0
AFFAMUKKAMXZLF,training_pool,1,4.88,4.88,4.88,False,False,0.0,0.0
AFHIZAGAVXGPBA,training_pool,1,4.1,4.1,4.1,False,False,0.0,0.0
AFIZBKGMQWUGEN,training_pool,1,4.44,4.44,4.44,False,False,0.0,0.0
AFNPPZSINPKUHO,training_pool,1,5.28,5.28,5.28,False,False,0.0,1.0
AFNVDBXJVZCFLO,training_pool,1,8.05,8.05,8.05,False,False,1.0,1.0
AFSDNFLWKVMVRB,training_pool,1,5.8,5.8,5.8,False,False,0.0,1.0
AFSVTGXZVYXITM,training_pool,2,6.505,6.26,6.75,False,False,1.0,1.0
AGATWFCSQRRDGY,training_pool,1,6.1,6.1,6.1,False,False,1.0,1.0
