inchikey_connectivity,split,n_records,median_pchembl,min_pchembl,max_pchembl,conflict_T6,conflict_T5,label_T6,label_T5
AAUGNNZVJNZLJZ,training_pool,1,8.49,8.49,8.49,False,False,1.0,1.0
ABWYGBNUWFPWLM,training_pool,1,6.04,6.04,6.04,False,False,1.0,1.0
AETHRPHBGJAIBT,training_pool,1,8.24,8.24,8.24,False,False,1.0,1.0
AIEGWYRRGJXQAX,training_pool,1,7.6,7.6,7.6,False,False,1.0,1.0
AIONOLUJZLIMTK,flora,2,6.08,6.08,6.08,False,False,1.0,1.0
AIVRMJQFXVTQFW,training_pool,1,8.64,8.64,8.64,False,False,1.0,1.0
AJDOXUZMGBDQQH,training_pool,1,4.01,4.01,4.01,False,False,0.0,0.0
AKEMKSDZCYBMAL,training_pool,1,6.09,6.09,6.09,False,False,1.0,1.0
AKVPULQDSJJKMY,training_pool,1,4.85,4.85,4.85,False,False,0.0,0.0
AMYPOQXBUHVQHC,training_pool,1,8.38,8.38,8.38,False,False,1.0,1.0
ANPIKECPJBIJSM,training_pool,1,8.49,8.49,8.49,False,False,1.0,1.0
ANYNDUXDUCQNBL,training_pool,1,6.3,6.3,6.3,False,False,1.0,1.0
AOARHEAWEGHBJL,training_pool,1,7.21,7.21,7.21,False,False,1.0,1.0
AQEJVMNRRSANFM,training_pool,1,6.23,6.23,6.23,False,False,1.0,1.0
ARJKROLORHIPDC,training_pool,1,4.42,4.42,4.42,False,False,0.0,0.0
ASANMKNBNVEBPD,training_pool,2,9.77,9.4,10.14,False,False,1.0,1.0
ASIPNIMQUJTSKD,training_pool,1,4.7,4.7,4.7,False,False,0.0,0.0
ATHWOBRNXTYZEM,training_pool,1,6.92,6.92,6.92,False,False,1.0,1.0
ATIVVUSDXINRMQ,training_pool,1,6.79,6.79,6.79,False,False,1.0,1.0
ATXQTYIDVSLPJP,training_pool,1,4.31,4.31,4.31,False,False,0.0,0.0
AUDBGOIKEKOXPO,training_pool,1,9.0,9.0,9.0,False,False,1.0,1.0
AUHAXLFMSMJTNW,training_pool,1,6.27,6.27,6.27,False,False,1.0,1.0
AWCYVUCBGYMROU,training_pool,1,5.1,5.1,5.1,False,False,0.0,1.0
AWKRVVGAVDYMNU,training_pool,1,4.1,4.1,4.1,False,False,0.0,0.0
AXFUVKIJAUFLLV,training_pool,2,6.49,5.39,7.59,True,False,,1.0
AXMVYSVVTMKQSL,training_pool,1,4.5,4.5,4.5,False,False,0.0,0.0
AZMDMDGSBZKDIT,training_pool,1,4.04,4.04,4.04,False,False,0.0,0.0
AZNRLEPMIZDJRO,training_pool,1,6.7,6.7,6.7,False,False,1.0,1.0
AZYCOLAQWQXOJE,training_pool,1,8.34,8.34,8.34,False,False,1.0,1.0
BBFJODMCHICIAA,training_pool,1,5.52,5.52,5.52,False,False,0.0,1.0
BBLPZAGINNLZHE,training_pool,1,6.54,6.54,6.54,False,False,1.0,1.0
BCOJFIZGWNFMNI,training_pool,1,4.61,4.61,4.61,False,False,0.0,0.0
BEUJEWJEKHOVJK,training_pool,1,6.44,6.44,6.44,False,False,1.0,1.0
BEXBLQHZZOBULC,training_pool,1,5.4,5.4,5.4,False,False,0.0,1.0
BFENYHBRFBDYQY,training_pool,1,6.43,6.43,6.43,False,False,1.0,1.0
BFGNGJCHACAYBE,training_pool,1,7.43,7.43,7.43,False,False,1.0,1.0
BGYIDPKZXMZRFF,training_pool,1,4.96,4.96,4.96,False,False,0.0,0.0
BJFWQEZJZRRELZ,training_pool,1,8.41,8.41,8.41,False,False,1.0,1.0
BMZFZTMWBCFKSS,training_pool,1,5.18,5.18,5.18,False,False,0.0,1.0
BNSYKXJWDIINTF,training_pool,1,6.88,6.88,6.88,False,False,1.0,1.0
BOCGBQIBQAGIPN,training_pool,2,6.1899999999999995,6.13,6.25,False,False,1.0,1.0
BQSJTQLCZDPROO,training_pool,14,8.05,4.6,10.0,True,True,,
BSXYOAABUMJNIO,training_pool,1,6.64,6.64,6.64,False,False,1.0,1.0
BVUGPUPMAPCWKO,training_pool,1,4.74,4.74,4.74,False,False,0.0,0.0
BWORNNDZQGOKBY,training_pool,1,5.11,5.11,5.11,False,False,0.0,1.0
BWUKZMPNPJTOIT,training_pool,1,4.8,4.8,4.8,False,False,0.0,0.0
BXVHPVZZNLLYSB,training_pool,1,8.94,8.94,8.94,False,False,1.0,1.0
BZHWPTQYCZVDCK,training_pool,1,5.81,5.81,5.81,False,False,0.0,1.0
BZRPEKSFMGHEKP,training_pool,1,5.72,5.72,5.72,False,False,0.0,1.0
CBGGJNWXDCXUAZ,training_pool,1,6.48,6.48,6.48,False,False,1.0,1.0
CBMHVPYSCRBHLR,training_pool,1,4.27,4.27,4.27,False,False,0.0,0.0
CBULDJGSJJMBFT,training_pool,1,6.7,6.7,6.7,False,False,1.0,1.0
CCGNUEWHFIGJFX,training_pool,1,9.74,9.74,9.74,False,False,1.0,1.0
CDZYJHRBAVIMAQ,training_pool,1,7.0,7.0,7.0,False,False,1.0,1.0
CGIGDMFJXJATDK,training_pool,1,4.07,4.07,4.07,False,False,0.0,0.0
CGSZLUKNGUPHOV,training_pool,1,9.99,9.99,9.99,False,False,1.0,1.0
CHAAQDMHLLQJRO,training_pool,1,5.29,5.29,5.29,False,False,0.0,1.0
