layer,targets,label_T6,label_T5,median_pchembl,compound_name_bmppd,pubchem_title,plant_index,botanical_name,link_tier,reference_link,max_phase,natural_product,verified_in_source,is_reference_compound,notes
SCCDQYPEOIRVGX,cox1,0,1,5.52,Acetyleugenol,Eugenyl Acetate,1,Piper betle L.,HIGH,EMPTY,0,1,,,
RECUKUPTGUEGMW,cox1,0,1,5.40,Carvacrol,Carvacrol,1,Piper betle L.,HIGH,EMPTY,2,1,,,
RECUKUPTGUEGMW,cox1,0,1,5.40,Carvacrol,Carvacrol,2,Piper cubeba Vahl,HIGH,EMPTY,2,1,,,
IYRMWMYZSQPJKC,xo,0,1,5.97,Kaempferol,Kaempferol,4,Papaver somniferum L.,HIGH,EMPTY,1,1,,,
DTOSIQBPPRVQHS,cox1,0,1,5.40,Linolenic acid,Linolenic Acid,4,Papaver somniferum L.,HIGH,EMPTY,0,1,,,
REFJWTPEDVJJIY,cox2|xo|maoa,cox2:0; xo:conflict; maoa:0,cox2:0; xo:1; maoa:1,cox2:4.54; xo:5.55; maoa:5.55,Quercetin,Quercetin,4,Papaver somniferum L.,HIGH,EMPTY,3,1,,,
RECUKUPTGUEGMW,cox1,0,1,5.40,Carvacrol,Carvacrol,5,Artocarpus heterophyllus Lam.,HIGH,https://doi.org/10.1016/j.foodchem.2020.127211,2,1,,,
IQPNAANSBPBGFQ,xo|maoa,xo:conflict; maoa:0,xo:conflict; maoa:1,xo:5.33; maoa:5.19,Luteolin,Luteolin,5,Artocarpus heterophyllus Lam.,HIGH,https://doi.org/10.1016/j.foodchem.2020.127211,2,1,,,
KZNIFHPLKGYRTM,cox2|xo|maoa,cox2:0; xo:1; maoa:0,cox2:1; xo:1; maoa:1,cox2:5.10; xo:6.16; maoa:5.81,apigenin,Apigenin,5,Artocarpus heterophyllus Lam.,HIGH,https://doi.org/10.1021/jf500159z,0,1,,,
LHPRYOJTASOZGJ,cox1|cox2,cox1:1; cox2:0,cox1:1; cox2:0,cox1:6.30; cox2:4.65,moracin M,Moracin M,5,Artocarpus heterophyllus Lam.,HIGH,https://doi.org/10.1021/jf500159z,0,1,,,
