inchikey_connectivity,original_compound_names,pubchem_cid_original,resolved_cid,pubchem_title,match_type,chembl_ids,natural_product,max_phase,molecule_type,n_plants,source_plants_and_references,review_flag,labeled_targets
AGNFWIZBEATIAK,Benzenebutanamine,83242,83242,Benzenebutanamine,CID-based,CHEMBL79512,1,0,Small molecule,1,Cassia fistula L. [idx 872] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/10.3329/BJB.V51I2.60438; URL: https://bmppd.org/bmppd_result/?q=Cassia+FISTULA),False,maoa
AIFRHYZBTHREPW,"9H-Pyrido[3,4-B]indole",,64961,Beta-Carboline,exact_match,CHEMBL275224,1,0,Small molecule,2,Strychnos potatorum [idx 77] (Ref: -; URL: https://bmppd.org/bmppd_result/?q=Strychnos+potatorum); Desmodium gangeticum [idx 602] (Ref: https://bmppd.org/reference/?ref=ISBN%3A9788172360481; URL: https://bmppd.org/bmppd_result/?q=Desmodium+GANGETICUM),False,maoa
AIONOLUJZLIMTK,Hesperetin | Hesperitin | Hesperitin chalcone | hesperetin,72281,72281,Hesperetin,CID-based,CHEMBL1589200|CHEMBL399121|CHEMBL88169,1,0,Small molecule,5,Citrus reticulata [idx 70] (Ref: https://bmppd.org/reference/?ref=https%3A//sci-hub.se/https%3A//%0Awww.sciencedirect.com/%0Ascience/article/abs/pii/; URL: https://bmppd.org/bmppd_result/?q=Citrus+reticulata); Terminalia arjuna [idx 195] (Ref: -; URL: https://bmppd.org/bmppd_result/?q=Terminalia+ARJUNA); Maesa indica [idx 410] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/%2010.3390/plants13030338; URL: https://bmppd.org/bmppd_result/?q=Maesa+INDICA); Hibiscus sabdariffa [idx 497] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/10.3390/horticulturae7020036; URL: https://bmppd.org/bmppd_result/?q=Hibiscus+SABDARIFFA); Citrus maxima [idx 687] (Ref: https://bmppd.org/reference/?ref=10.1051/e3sconf/202448106004; URL: https://bmppd.org/bmppd_result/?q=Citrus+maxima),False,xo
AUZONCFQVSMFAP,disulfiram,3117,3117,Disulfiram,CID-based,CHEMBL964,1,4,Small molecule,1,Homalomena aromatica [idx 492] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/10.1515/chem-2024-008; URL: https://bmppd.org/bmppd_result/?q=Homalomena+aromatica),True,maoa
AZQWKYJCGOJGHM,"1,4-Benzoquinone | 2,5-Cyclohexadiene-1,4-dione | Benzo-1,4-quinone | Quinone | p-Benzoquinone",4650,4650,Quinone,CID-based | exact_match,CHEMBL8320,1,0,Small molecule,7,Plumbago indica [idx 14] (Ref: -; URL: https://bmppd.org/bmppd_result/?q=Plumbago+indica); Allium sativum [idx 124] (Ref: https://bmppd.org/reference/?ref=http%3A//www.ijat-aatsea.com/pdf/v19_n6_2023_November/1_IJAT_19%286%29_2023_Anyaegbu%2C%2520C.%2520F.%2520.pdf; URL: https://bmppd.org/bmppd_result/?q=Allium+SATIVUM); Plumbago indica [idx 301] (Ref: -; URL: https://bmppd.org/bmppd_result/?q=Plumbago+INDICA); Maranta arundinacea [idx 402] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/10.1002/9781119750802.ch4; URL: https://bmppd.org/bmppd_result/?q=Maranta+ARUNDINACEA); Leucas aspera [idx 435] (Ref: https://bmppd.org/reference/?ref=DOI%3A%2010.22376/ijpbs/lpr.2022.12.6.L107-117; URL: https://bmppd.org/bmppd_result/?q=Leucas+ASPERA); Lawsonia inermis [idx 442] (Ref: https://bmppd.org/reference/?ref=doi%3A%2010.11648/j.plant.20140203.11; URL: https://bmppd.org/bmppd_result/?q=Lawsonia+INERMIS); Hibiscus rosa-sinensis [idx 498] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/10.1080/0972060X.2023.2189529; URL: https://bmppd.org/bmppd_result/?q=Hibiscus+ROSA-SINENSIS),False,maoa
BGEBZHIAGXMEMV,5-methoxypsoralen | Bergapten | bergapten,2355,2355,Bergapten,CID-based | exact_match,CHEMBL24171,1,3,Small molecule,4,Citrus limon [idx 68] (Ref: https://bmppd.org/reference/?ref=DOI%3A10.1080/10412905.2000.9699501; URL: https://bmppd.org/bmppd_result/?q=Citrus+limon); Citrus reticulata [idx 70] (Ref: https://bmppd.org/reference/?ref=https%3A//sci-hub.se/https%3A//www.tandfonline.com/%0Adoi/abs/10.1080/10412905.1997.9700768; URL: https://bmppd.org/bmppd_result/?q=Citrus+reticulata); Aegle marmelos [idx 114] (Ref: https://bmppd.org/reference/?ref=https%3A//www.sciencedirect.com/science/article/abs/pii/S0944711304702274; URL: https://bmppd.org/bmppd_result/?q=Aegle+MARMELOS); Citrus maxima [idx 687] (Ref: https://bmppd.org/reference/?ref=10.1080/10412905.1996.9700622; URL: https://bmppd.org/bmppd_result/?q=Citrus+maxima),True,maoa
BXNJHAXVSOCGBA,Harmine,5280953,5280953,Harmine,CID-based,CHEMBL269538,1,1,Small molecule,1,Lawsonia inermis [idx 442] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.jep.2014.05.042; URL: https://bmppd.org/bmppd_result/?q=Lawsonia+INERMIS),True,maoa
CUFLZUDASVUNOE,"Methyl 3,4-dihydroxy benzo-ate | Methyl 3,4-dihydroxybenzoate | Protocatechuic acid methyl ester",287064,287064,"Methyl 3,4-Dihydroxybenzoate",CID-based | exact_match,CHEMBL486027,1,0,Small molecule,3,Mesua ferreaLinn. [idx 16] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/10.1080/14786419.2019.1613395; URL: https://bmppd.org/bmppd_result/?q=Mesua+ferrea); Tamarindus indica [idx 200] (Ref: -; URL: https://bmppd.org/bmppd_result/?q=Tamarindus+INDICA); Cyperus rotundus [idx 619] (Ref: https://bmppd.org/reference/?ref=https%3A//publish.kne-publishing.com/%0Aindex.php/PBR/article/view/9369/9117; URL: https://bmppd.org/bmppd_result/?q=Cyperus+ROTUNDUS),False,xo
DANYIYRPLHHOCZ,"Acacetin | Acacetine (linarigenin, linarisenin, 4'-methoxyapigenin) | acacetin",5280442,5280442,Acacetin,CID-based,CHEMBL243664,1,0,Small molecule,6,Holarrhena pubescens [idx 78] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.jsps.2023.04.009; URL: https://bmppd.org/bmppd_result/?q=Holarrhena+pubescens); Ocimum americanum [idx 349] (Ref: https://bmppd.org/reference/?ref=doi%3A10.1016/S0031-9422%2803%2900143-2; URL: https://bmppd.org/bmppd_result/?q=Ocimum+AMERICANUM); Mimusops elengi [idx 386] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.arabjc.2023.104753; URL: https://bmppd.org/bmppd_result/?q=Mimusops+ELENGI); Leucas aspera [idx 435] (Ref: https://bmppd.org/reference/?ref=DOI%3A%2010.25258/phyto.12.3.2; URL: https://bmppd.org/bmppd_result/?q=Leucas+ASPERA); Lawsonia inermis [idx 442] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/10.1016/j.jep.2014.05.042; URL: https://bmppd.org/bmppd_result/?q=Lawsonia+INERMIS); Citrus maxima [idx 687] (Ref: https://bmppd.org/reference/?ref=10.1155/2022/8741669; URL: https://bmppd.org/bmppd_result/?q=Citrus+maxima),False,maoa
DKZBBWMURDFHNE,Coniferaldehyde,5280536,5280536,Coniferaldehyde,CID-based,CHEMBL1956165|CHEMBL242529,1,0,Small molecule,1,Manihot esculenta [idx 405] (Ref: https://bmppd.org/reference/?ref=https%3A//doi.org/10.4103/0974-8490.204648; URL: https://bmppd.org/bmppd_result/?q=Manihot+ESCULENTA),False,xo
