plant_index,analysis_unit_id,group_size,grouping_reason
1,AU_001,1,singleton
2,AU_002,1,singleton
3,AU_003,1,singleton
4,AU_004,1,singleton
5,AU_005,2,identical_bmppd_query_name
6,AU_006,2,identical_bmppd_query_name
7,AU_007,2,identical_bmppd_query_name
8,AU_008,1,singleton
9,AU_009,1,singleton
10,AU_010,1,singleton
11,AU_011,2,identical_bmppd_query_name
12,AU_012,1,singleton
13,AU_013,2,identical_bmppd_query_name
14,AU_014,2,identical_bmppd_query_name
15,AU_015,1,singleton
16,AU_016,1,singleton
17,AU_017,2,identical_bmppd_query_name
18,AU_018,2,identical_bmppd_query_name
19,AU_019,1,singleton
20,AU_020,1,singleton
21,AU_021,2,identical_bmppd_query_name
22,AU_022,1,singleton
23,AU_023,2,identical_bmppd_query_name
24,AU_024,1,singleton
25,AU_025,1,singleton
26,AU_026,1,singleton
27,AU_027,2,identical_bmppd_query_name
28,AU_028,2,identical_bmppd_query_name
29,AU_029,1,singleton
30,AU_030,1,singleton
31,AU_031,1,singleton
32,AU_032,1,singleton
33,AU_033,2,identical_bmppd_query_name
34,AU_034,2,identical_bmppd_query_name
35,AU_035,1,singleton
36,AU_036,1,singleton
37,AU_037,2,identical_bmppd_query_name
38,AU_038,1,singleton
39,AU_039,1,singleton
40,AU_040,2,identical_bmppd_query_name
41,AU_041,2,identical_bmppd_query_name
42,AU_042,1,singleton
43,AU_043,2,identical_bmppd_query_name
44,AU_044,1,singleton
45,AU_045,2,identical_bmppd_query_name
46,AU_046,1,singleton
47,AU_047,1,singleton
48,AU_048,1,singleton
49,AU_049,2,identical_bmppd_query_name
50,AU_050,1,singleton
51,AU_051,1,singleton
52,AU_052,1,singleton
53,AU_053,1,singleton
54,AU_054,1,singleton
55,AU_055,2,identical_bmppd_query_name
56,AU_056,1,singleton
57,AU_057,1,singleton
58,AU_058,1,singleton
59,AU_059,1,singleton
60,AU_060,1,singleton
61,AU_061,1,singleton
62,AU_062,1,singleton
63,AU_063,1,singleton
64,AU_064,2,identical_bmppd_query_name
65,AU_065,3,identical_bmppd_query_name
66,AU_066,1,singleton
67,AU_067,2,identical_bmppd_query_name
