sampled_tier,inchikey_connectivity,bmppd_name,pubchem_title_cid,pubchem_title_name,formula_cid,formula_name,layer_cid,layer_name,plants,my_judgement,notes
LOW,ZYGHJZDHTFUPRJ,4-Hydroxybenzoic acid | Coumaric acid | Vanillic acid | beta-Pinene,Coumarin,P-Coumaric Acid,C9H6O2,C9H8O3,ZYGHJZDHTFUPRJ,NGSWKAQJJWESNS,410 (Maesa INDICA Wall.); 497 (Hibiscus SABDARIFFA L.); 623 (Cynodon DACTYLON (L.)Pers.); 675 (Cocos NUCIFERA L.); 685 (Clausena HEPTAPHYLLA (Roxb.) Wight.& Arn.),,
LOW,DWFZBUWUXWZWKD,"3(2H)-Pyridazinone, 6-methyl-",Pyridaben,,C19H25ClN2OS,,DWFZBUWUXWZWKD,,497 (Hibiscus SABDARIFFA L.),,
LOW,HTTJABKRGRZYRN,Tirucallol,2-O-Sulfohexopyranuronosyl-(1->4)-2-deoxy-3-O-sulfo-2-(sulfoamino)hexopyranosyl-(1->4)-2-O-sulfohexopyranuronosyl-(1->4)-2-acetamido-2-deoxy-6-O-sulfohexopyranose,,C26H42N2O37S5,,HTTJABKRGRZYRN,,21 (Benincasa hispida (Thunb.) Cogn.); 765 (Benincasa HISPIDA (Thunb.) Cogn.),,
LOW,DUWPGRAKHMEPCM,Hispidulin,Isobavachalcone,,C20H20O4,,DUWPGRAKHMEPCM,,682 (Clerodendrum INDICUM (L.) Kuntze.),,
LOW,MUZIZEZCKKMZRT,Dithiolane,CID 160377932,,C3H6S2,,MUZIZEZCKKMZRT,,124 (Allium SATIVUM L.),,
LOW,LKQMMFFQYMYQOJ,Bicycloelemene,"Bicyclo(4.1.0)heptane, 3-ethenyl-3,7,7-trimethyl-2-(1-methylethenyl)-, (1R-(1alpha,2alpha,3beta,6alpha))-",,C15H24,,LKQMMFFQYMYQOJ,,628 (Curcuma ZEDOARIA Rosc.); 894 (Desmos chinensislour.); 897 (Centella ASIATICA (L.) Urban.),,
LOW,VEVZSMAEJFVWIL,"1,2-Dioleoyl-3-linoleoyl-rac-glycerol",Cyanidin Chloride,"1,2-Dioleoyl-3-linolein",C15H11O6+,C57H102O6,VEVZSMAEJFVWIL,JTMWOTXEVWLTTO,563 (Entada rheedii Spreng.),,
LOW,SXJVFYZNUGGHRG,7?-hydroxysitosterol,7Beta-hydroxy-beta-sitosterol,,C29H50O2,,SXJVFYZNUGGHRG,,43 (Lagerstroemia speciosa(l.) Pers.); 449 (Lagerstroemia speciosa (L.) Pers.),,
LOW,DWUYGFWOANEJRE,Caryophyllenol | Caryophyllenol II,Caryophyllenol I,"Bicyclo(7.2.0)undecan-5-ol, 10,10-dimethyl-2,6-bis(methylene)-",C15H24O,C15H24O,DWUYGFWOANEJRE,CIIYOYPOMGIECX,619 (Cyperus ROTUNDUS L.); 906 (Cinnamomum TAMALA Nees),,
LOW,ORNBQBCIOKFOEO,Ecdysone,"1-[(3S,8S,10R,13S)-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone",,C21H32O2,,ORNBQBCIOKFOEO,,13 (Achyranthes aspera L.); 104 (Achyranthes ASPERA L.),,
LOW,JPEZHEPTQWCTNM,"6-Hydroxy-4-(4-hydroxy-3-methoxyphenyl)-3-hydroxymethyl-7-methoxy-3,4-dihydro-2-naphthaldehyde","7,8,9,9-Tetradehydroisolariciresil",,C20H20O6,,JPEZHEPTQWCTNM,,151 (Vitex NEGUNDO L.),,
LOW,AQGOGICAGOUIGS,Retinol,"(2E)-6-acetyl-2-[(6-bromo-1,3-benzodioxol-5-yl)methylidene]-5-(4-methoxyphenyl)-7-methyl-5H-[1,3]thiazolo[3,2-a]pyrimidin-3(2H)-one",Retinol,C24H19BrN2O5S,C20H30O,AQGOGICAGOUIGS,FPIPGXGPPPQFEQ,637 (Cucurbita MAXIMA Duch.),,
LOW,DYPLDWLIOGXSSE,N-Nitrosoguvacoline,Guvacoline,N-Nitrosoguvacoline,C7H11NO2,C7H10N2O3,DYPLDWLIOGXSSE,NXEUEKXJAAVKCT,731 (Areca CATECHU L.),,
LOW,LCYZOSVRKHROOX,Furanoeremophilane,"3,4a,5-trimethyl-5,6,7,8,8a,9-hexahydro-4H-benzo[][1]benzouran",,C15H22O,,LCYZOSVRKHROOX,,151 (Vitex NEGUNDO L.),,
LOW,MQYXUWHLBZFQQO,"(-)-Butyrospermol | 2-Ethyl-5-methylpyrazine | Arachidic acid | Azuleno(4,5-b)furan-2(3H)-one, decahydro-4,8-dihydroxy-3,6,9-tris(methylene)-, (3aR-(3aalpha,4alpha,6aalpha,8beta,9aalpha,9bbeta))- | Oleanolic acid | alpha-Carotene | beta-Sitosterol",Lupeol,2-Ethyl-5-methylpyrazine,C30H50O,C7H10N2,MQYXUWHLBZFQQO,OXCKCFJIKRGXMM,21 (Benincasa hispida (Thunb.) Cogn.); 563 (Entada rheedii Spreng.); 571 (Elephantopus SCABER L.); 740 (Artocarpus LACUCHA Buch-Ham.); 765 (Benincasa HISPIDA (Thunb.) Cogn.),,
LOW,DYTVUYVLJDSMFA,Psi-Taraxasterol acetate,Urs-20-en-3-yl acetate,,C32H52O2,,DYTVUYVLJDSMFA,,793 (Calotropis GIGANTEA (L.) R. Br.),,
LOW,YPSAOPXJHSESSR,Linoleic acid,,Linoleic Acid,C22H33NO5,C18H32O2,YPSAOPXJHSESSR,OYHQOLUKZRVURQ,637 (Cucurbita MAXIMA Duch.),,
LOW,AGOJRWYSOBLXNH,Kaempferol-3-O-robinobioside,,Biorobin,C54H88O20,C27H30O15,AGOJRWYSOBLXNH,RTATXGUCZHCSNG,637 (Cucurbita MAXIMA Duch.),,
LOW,MYCFGFMJUUNKBN,(E)-sabinene hydrate,trans-Sabinene hydrate acetate,4-Thujanol,C12H20O2,C10H18O,MYCFGFMJUUNKBN,KXSDPILWMGFJMM,70 (Citrus reticulata Blanco),,
LOW,UCMIRNVEIXFBKS,stigmast-5-en-3beta-yl beta-D-glucopyranoside,Beta-Alanine,Sitosteryl glucoside,C3H7NO2,C35H60O6,UCMIRNVEIXFBKS,NPJICTMALKLTFW,9 (Boerhavia diffusa L.),,
LOW,VHBFFQKBGNRLFZ,Flavonol,Flavone,Flavonol,C15H10O2,C15H10O3,VHBFFQKBGNRLFZ,HVQAJTFOCKOKIN,498 (Hibiscus ROSA-SINENSIS L.),,
LOW,IKGXIBQEEMLURG,Nicotiflorin,Rutin,Kaempferol-3-O-Rutinoside,C27H30O16,C27H30O15,IKGXIBQEEMLURG,RTATXGUCZHCSNG,637 (Cucurbita MAXIMA Duch.),,
LOW,HPLHHICRCJYRHY,"1,3-Diphenylurea",Menaquinone 6,,C41H56O2,,HPLHHICRCJYRHY,,675 (Cocos NUCIFERA L.),,
LOW,GHVNFZFCNZKVNT,"Decanoic acid, Ethyl ester",Decanoic Acid,Ethyl caprate,C10H20O2,C12H24O2,GHVNFZFCNZKVNT,RGXWDWUGBIJHDO,525 (Gloriosa SUPERBA L.),,
