plant_index,raw_mpbd_name,name_pattern,bmpdd_query_name,query_source,query_status,transformation_notes
1,Piper betle L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Piper betle,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
2,Piper cubeba Vahl,SIMPLE_BINOMIAL_WITH_AUTHORITY,Piper cubeba,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
3,Berberis aristata DC.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Berberis aristata,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
4,Papaver somniferum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Papaver somniferum,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
5,Artocarpus heterophyllus Lam.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Artocarpus heterophyllus,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
6,Ficus racemosa L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Ficus racemosa,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
7,Morus indica L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Morus indica,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
8,Juglans regia L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Juglans regia,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
9,Boerhavia diffusa L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Boerhavia diffusa,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
10,Boerhavia repens L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Boerhavia repens,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
11,Mirabilis jalapa L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Mirabilis jalapa,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
12,Opuntia dellenii (Ker Gawl.) Haw.,BINOMIAL_PARENTHETICAL_AUTHORITY,Opuntia dellenii,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
13,Achyranthes aspera L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Achyranthes aspera,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
14,Plumbago indica L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Plumbago indica,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
15,Vateria indica L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Vateria indica,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
16,Mesua ferrea L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Mesua ferrea,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
17,Helicteres isora L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Helicteres isora,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
18,Abelmoschus esculentus (L.) Moench,BINOMIAL_PARENTHETICAL_AUTHORITY,Abelmoschus esculentus,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
19,Gossypium arboreum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Gossypium arboreum,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
20,Viola odorata L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Viola odorata,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
21,Benincasa hispida (Thunb.) Cogn.,BINOMIAL_PARENTHETICAL_AUTHORITY,Benincasa hispida,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
22,Citrullus colocynthis (L.) Schard.,BINOMIAL_PARENTHETICAL_AUTHORITY,Citrullus colocynthis,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
23,Momordica dioica Roxb. ex Willd.,MULTI_AUTHOR_OR_COMPLEX,Momordica dioica,OFFLINE_RULE,READY,Preserved genus and species epithet; stripped multi-word/compound author citation.
24,Mukia maderaspatana (L.) M. Roem,BINOMIAL_PARENTHETICAL_AUTHORITY,Mukia maderaspatana,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
25,Brassica juncea (L.) Czern.,BINOMIAL_PARENTHETICAL_AUTHORITY,Brassica juncea,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
26,Raphanus raphanistrum subsp. SATIVUS(L.) Domin.,INFRASPECIFIC_SUBSP,Raphanus raphanistrum subsp. SATIVUS,OFFLINE_RULE,READY,Preserved species binomial and subsp. rank + epithet; stripped author citations.
27,Moringa oleifera Lam.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Moringa oleifera,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
28,Diospyros malabarica(desr.) Kostel.,BINOMIAL_PARENTHETICAL_AUTHORITY,Diospyros malabarica,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
29,Cydonia oblonga Mill.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Cydonia oblonga,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
30,Prunus amygdalus Stokes,SIMPLE_BINOMIAL_WITH_AUTHORITY,Prunus amygdalus,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
31,Acacia nilotica (L.) Delile subsp. INDICA(Benth) Brenan,INFRASPECIFIC_SUBSP,Acacia nilotica subsp. INDICA,OFFLINE_RULE,READY,Preserved species binomial and subsp. rank + epithet; stripped author citations.
