reconciliation_id,raw_scientific_name,normalized_scientific_name,raw_family,normalized_family,canonical_scientific_name,canonical_family,reconciliation_status,reconciliation_reason,confidence,evidence_source,evidence_reference,review_required,source_page_url
3f71a37a44c63002,Piper betle L.,piper betle l.,Piperaceae,piperaceae,,,NORMALIZED_ONLY,Scientific name change: CASE_ONLY. Family change: CASE_ONLY.,HIGH,NONE,,FALSE,https://mpbd.cu.ac.bd/plants.php
383cd345f339d4f3,Piper cubeba Vahl,piper cubeba vahl,Piperaceae,piperaceae,,,NORMALIZED_ONLY,Scientific name change: CASE_ONLY. Family change: CASE_ONLY.,HIGH,NONE,,FALSE,https://mpbd.cu.ac.bd/plants.php
f136a70295e5b4f6,Berberis aristata DC.,berberis aristata dc.,Berberidaceae,berberidaceae,,,NORMALIZED_ONLY,Scientific name change: CASE_ONLY. Family change: CASE_ONLY.,HIGH,NONE,,FALSE,https://mpbd.cu.ac.bd/plants.php
e51ec61eeb2f765d,Papaver somniferum L.,papaver somniferum l.,Papaveraceae,papaveraceae,,,NORMALIZED_ONLY,Scientific name change: CASE_ONLY. Family change: CASE_ONLY.,HIGH,NONE,,FALSE,https://mpbd.cu.ac.bd/plants.php
ab4bb325f02eb73f,Artocarpus heterophyllus Lam.,artocarpus heterophyllus lam.,Moraceae,moraceae,,,NORMALIZED_ONLY,Scientific name change: CASE_ONLY. Family change: CASE_ONLY.,HIGH,NONE,,FALSE,https://mpbd.cu.ac.bd/plants.php
20e198b52832bcae,Ficus racemosa L.,ficus racemosa l.,Moraceae,moraceae,,,POTENTIAL_DUPLICATE,Normalized scientific name appears 2 times. Original change type: CASE_ONLY.,MEDIUM,NONE,,TRUE,https://mpbd.cu.ac.bd/plants.php
2c5f3f4a19fc605f,Morus indica L.,morus indica l.,Moraceae,moraceae,,,POTENTIAL_DUPLICATE,Normalized scientific name appears 2 times. Original change type: CASE_ONLY.,MEDIUM,NONE,,TRUE,https://mpbd.cu.ac.bd/plants.php
4a086ab3f86935ca,Juglans regia L.,juglans regia l.,Juglandaceae,juglandaceae,,,NORMALIZED_ONLY,Scientific name change: CASE_ONLY. Family change: CASE_ONLY.,HIGH,NONE,,FALSE,https://mpbd.cu.ac.bd/plants.php
c5951cfc7d448ea2,Boerhavia diffusa L.,boerhavia diffusa l.,Nyctaginaceae,nyctaginaceae,,,NORMALIZED_ONLY,Scientific name change: CASE_ONLY. Family change: CASE_ONLY.,HIGH,NONE,,FALSE,https://mpbd.cu.ac.bd/plants.php
f3bb6298a996c5a8,Boerhavia repens L.,boerhavia repens l.,Nyctaginaceae.,nyctaginaceae,,,NORMALIZED_ONLY,Scientific name change: CASE_ONLY. Family change: PUNCTUATION_ONLY.,HIGH,NONE,,FALSE,https://mpbd.cu.ac.bd/plants.php
