raw_family,normalized_family,occurrence_count,variant_count,normalization_type,review_required,notes
-,-,7,1,NO_CHANGE,FALSE,
Acanthaceae,acanthaceae,18,1,CASE_ONLY,FALSE,
Acoraceae,acoraceae,1,1,CASE_ONLY,FALSE,
Adiantaceae,adiantaceae,3,1,CASE_ONLY,FALSE,
Aizoaceae,aizoaceae,1,1,CASE_ONLY,FALSE,
Alangiaceae,alangiaceae,1,1,CASE_ONLY,FALSE,
Alismataceae,alismataceae,1,1,CASE_ONLY,FALSE,
Amaranthaceae,amaranthaceae,11,1,CASE_ONLY,FALSE,
Amaryllidaceae,amaryllidaceae,4,1,CASE_ONLY,FALSE,
Anacardiaceae,anacardiaceae,8,1,CASE_ONLY,FALSE,
ANNONACEAE / Annonaceae,annonaceae,9,2,CASE_ONLY,TRUE,"Variants: ANNONACEAE, Annonaceae"
Apiaceae,apiaceae,10,1,CASE_ONLY,FALSE,
Apocynacea,apocynacea,1,1,CASE_ONLY,FALSE,
Apocynaceae,apocynaceae,19,1,CASE_ONLY,FALSE,
Araceae,araceae,11,1,CASE_ONLY,FALSE,
Araliaceae,araliaceae,2,1,CASE_ONLY,FALSE,
Arecaceae,arecaceae,5,1,CASE_ONLY,FALSE,
Aristolochiaceae,aristolochiaceae,4,1,CASE_ONLY,FALSE,
Articaceae,articaceae,1,1,CASE_ONLY,FALSE,
Asclepiadaceae,asclepiadaceae,11,1,CASE_ONLY,FALSE,
Aspleniaceae,aspleniaceae,1,1,CASE_ONLY,FALSE,
Asteraceae,asteraceae,30,1,CASE_ONLY,FALSE,
Averrhoaceae,averrhoaceae,2,1,CASE_ONLY,FALSE,
Balsaminaceae,balsaminaceae,1,1,CASE_ONLY,FALSE,
Barringtoniaceae,barringtoniaceae,2,1,CASE_ONLY,FALSE,
Basellaceae,basellaceae,1,1,CASE_ONLY,FALSE,
Begoniaceae,begoniaceae,1,1,CASE_ONLY,FALSE,
Berberidaceae,berberidaceae,1,1,CASE_ONLY,FALSE,
Betulaceae,betulaceae,1,1,CASE_ONLY,FALSE,
Bignoniaceae,bignoniaceae,3,1,CASE_ONLY,FALSE,
Bixaceae,bixaceae,1,1,CASE_ONLY,FALSE,
Bombacaceae,bombacaceae,1,1,CASE_ONLY,FALSE,
Bombaceae,bombaceae,2,1,CASE_ONLY,FALSE,
