record_id,raw_scientific_name,normalized_scientific_name,raw_synonym,raw_family,normalized_family,canonical_scientific_name,canonical_family,reconciliation_status,confidence,source_page_url,scrape_timestamp
3f71a37a44c63002,Piper betle L.,piper betle l.,Chavica betle (L.) Miq. Betela mastica Raf. Chavica auriculata Miq. Piperi betlum (L.)St.-Lag.,Piperaceae,piperaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
383cd345f339d4f3,Piper cubeba Vahl,piper cubeba vahl,,Piperaceae,piperaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
f136a70295e5b4f6,Berberis aristata DC.,berberis aristata dc.,BerberiscoccineaK.Koch BerberiselegansK.Koch BerberisgracilisLindl. BerberisumbellataLindl.,Berberidaceae,berberidaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
e51ec61eeb2f765d,Papaver somniferum L.,papaver somniferum l.,,Papaveraceae,papaveraceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
ab4bb325f02eb73f,Artocarpus heterophyllus Lam.,artocarpus heterophyllus lam.,Artocarpus brasiliensis Ortega Artocarpus maximus Blanco Artocarpus philippensis Lam.,Moraceae,moraceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
20e198b52832bcae,Ficus racemosa L.,ficus racemosa l.,Ficus lanceolata Buch-Ham. exRoxb. Ficus acidula King Ficus chittagonga Miq. Ficus lucescens Blume,Moraceae,moraceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
2c5f3f4a19fc605f,Morus indica L.,morus indica l.,,Moraceae,moraceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
4a086ab3f86935ca,Juglans regia L.,juglans regia l.,Juglans duclouxiana Dode Juglans fallax Dode Juglans orientis Dode Juglans sinensis (C.DC.) Dode,Juglandaceae,juglandaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
c5951cfc7d448ea2,Boerhavia diffusa L.,boerhavia diffusa l.,Axiacochin chinensis Lour. Boerhavia adscendens Willd. Boerhavia caespitosa Ridl. Boerhavia friesi,Nyctaginaceae,nyctaginaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
f3bb6298a996c5a8,Boerhavia repens L.,boerhavia repens l.,Boerhavia angustifolia Span. Boerhavia ascendens Schumach. Boerhavia maroccana Ball Boerhavia pol,Nyctaginaceae.,nyctaginaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
d35a3e6ccb730695,Mirabilis jalapa L.,mirabilis jalapa l.,Nyctago jalapae (L.) DC. Mirabilislin dheimeri (Standl.) Shinners,Nyctaginaceae,nyctaginaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
7c6083219e95e391,Opuntia dellenii (Ker Gawl.) Haw.,opuntia dellenii (ker gawl.) haw.,Cactus chinensis Roxb. Cactus dillenii Ker Gawl. Cactus indicus Roxb. Opuntia melanosperma Svenson,Cactaceae.,cactaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
9236980ba0453594,Achyranthes aspera L.,achyranthes aspera l.,Achyranthes acuminata E.Mey. ex Cooke & Wright Achyranthes grandifolia Moq.Cadelaria punctata Raf.,Amaranthaceae,amaranthaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
36d89c8771c7f50b,Plumbago indica L.,plumbago indica l.,Plumbago rosea L. Thela coccinea Lour.,Plumbaginaceae.,plumbaginaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
f613df04485b0fe3,Vateria indica L.,vateria indica l.,,Dipterocarpaceae,dipterocarpaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
acb5ac969e999d63,Mesua ferrea L.,mesua ferrea l.,Mesua nagassarium(Burm. f.)Kosterm.,Clusiaceae,clusiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
f6932e48d0e7d4f8,Helicteres isora L.,helicteres isora l.,Helicteres grewiaefolia DC. Isora grewiaefolia (DC.) Schott & Endl. Ixora versicolor Hassk.,Sterculiaceae,sterculiaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
