plant_index,term_raw,term_light
1,Stomach pain,stomach pain
1,carminative,carminative
1,stimulantion,stimulantion
1,antiseptic,antiseptic
1,astringent,astringent
1,boils,boils
1,cold,cold
1,fever,fever
1,lice infestation,lice infestation
2,Anal fissure,anal fissure
2,constipation,constipation
2,diarrhoea,diarrhoea
2,dysmenorrhoea,dysmenorrhoea
2,fever,fever
2,flatulence,flatulence
2,heat stroke,heat stroke
2,hepatomegaly,hepatomegaly
3,Constipation,constipation
3,carminative,carminative
3,ear diseases.,ear diseases
4,Asthma,asthma
4,cirorhosis,cirorhosis
4,duodenal ulcer,duodenal ulcer
4,eclampsia,eclampsia
4,gastric tumor,gastric tumor
4,gynaecological disease,gynaecological disease
4,piles,piles
4,stomach,stomach
5,Skin diseases,skin diseases
5,diarrhoea,diarrhoea
5,lactopenia,lactopenia
5,polymenorrhoea,polymenorrhoea
5,rash,rash
5,stomachache,stomachache
5,toothache.,toothache
6,Diarrhoea,diarrhoea
6,dysentery,dysentery
6,menorrhagia,menorrhagia
6,bronchitis,bronchitis
6,dry cough,dry cough
6,sexual weakness,sexual weakness
6,urinary trouble,urinary trouble
6,diabetes,diabetes
7,Inflammation and thickening of the vocal cords,inflammation and thickening of the vocal cords
7,cooling,cooling
7,laxative,laxative
7,allay thirst,allay thirst
7,fevers,fevers
7,burning sensations,burning sensations
7,vermifuge,vermifuge
7,purgative,purgative
7,anthelmintic,anthelmintic
7,astringent.,astringent
8,Insomnia,insomnia
8,sexual weakness.,sexual weakness
9,Diuretic,diuretic
9,anasarca and dropsy,anasarca and dropsy
10,Diuretic,diuretic
10,anasarca and dropsy,anasarca and dropsy
11,Urinary problems,urinary problems
11,aphrodisiac,aphrodisiac
11,purgative,purgative
11,maturant,maturant
11,inflammations,inflammations
11,boils,boils
11,phlegmons,phlegmons
11,whitlow,whitlow
11,soothing,soothing
11,urticaria.,urticaria
12,Impotence,impotence
12,digestive,digestive
12,carminative,carminative
12,diuretic,diuretic
12,purgative,purgative
12,leucoderma,leucoderma
12,enlarged spleen,enlarged spleen
12,urinary burning,urinary burning
12,vesicular calculi,vesicular calculi
12,ophthalmia,ophthalmia
12,dandruff,dandruff
12,inflammation,inflammation
12,boils to hasten suppuration,boils to hasten suppuration
12,whooping cough,whooping cough
12,ashma,ashma
12,gonorrhoea.,gonorrhoea
13,Gastric,gastric
13,pneumonia,pneumonia
13,in bites of poisonous animal,in bites of poisonous animal
13,jaundice,jaundice
13,urinary trouble,urinary trouble
13,abortion,abortion
13,Asthma,asthma
13,Asthma,asthma
13,bronchites,bronchites
13,carbuncle,carbuncle
13,constipation,constipation
13,cough,cough
13,diabetes,diabetes
13,epistaxis,epistaxis
13,gastric tumor,gastric tumor
13,gout,gout
13,gynecological disease,gynecological disease
13,hook worm infestation,hook worm infestation
13,hysteria,hysteria
13,illhealth,illhealth
14,Hepatitis,hepatitis
14,piles,piles
14,rheumatism,rheumatism
14,leprosy,leprosy
14,scabies,scabies
14,dysentery,dysentery
14,tumours,tumours
14,abortion,abortion
14,body pain,body pain
14,cirorhosis,cirorhosis
14,contraception,contraception
14,diarrhoea,diarrhoea
14,duodenal ulcer,duodenal ulcer
14,dysentery,dysentery
14,embrayopathy,embrayopathy
14,flatulence,flatulence
14,gastric tumor,gastric tumor
14,gastric ulcer,gastric ulcer
14,gynecological disease,gynecological disease
14,hepatomegaly,hepatomegaly
14,hyper aci,hyper aci
15,Diarrhoea,diarrhoea
15,convulsion,convulsion
16,Fever,fever
16,gastric tumor,gastric tumor
16,stomachache,stomachache
16,strangury,strangury
16,astringrent,astringrent
16,stomachic,stomachic
16,cough,cough
16,bleeding piles,bleeding piles
16,burning feet,burning feet
16,dysentery,dysentery
16,itch,itch
16,rheumatism,rheumatism
16,sudorific.,sudorific
17,Eczema,eczema
17,skin diseases,skin diseases
17,demulcent,demulcent
17,astringent,astringent
17,bowels,bowels
17,flatulence,flatulence
17,chronic dysentery,chronic dysentery
17,intestinal worms,intestinal worms
17,dysentery,dysentery
17,diarrhoea,diarrhoea
17,biliousness,biliousness
17,cough,cough
17,asthma,asthma
17,diabetes,diabetes
17,stomach affections,stomach affections
17,expectorant,expectorant
17,anti-galactagogue,anti-galactagogue
17,griping,griping
17,scabies.,scabies
18,Chronic dysentery,chronic dysentery
18,gonorrhoea,gonorrhoea
18,urinary discharges,urinary discharges
18,strangury,strangury
18,diarrhoea,diarrhoea
18,spesrmatorrhoea,spesrmatorrhoea
18,cancer,cancer
19,Irregular menstruation,irregular menstruation
20,Headache,headache
20,constipation.,constipation
21,Colic,colic
21,diabetes,diabetes
21,oedema,oedema
21,haemorrhages,haemorrhages
21,phthisis,phthisis
21,facial euruption,facial euruption
21,antidote,antidote
21,insanity,insanity
21,epilepsy,epilepsy
21,nervous diseases,nervous diseases
21,strangury,strangury
21,urinary calculi,urinary calculi
21,tapeworms,tapeworms
21,heart diseases,heart diseases
21,tuberculesis,tuberculesis
21,tympanitis,tympanitis
21,colic pain,colic pain
21,bruises.,bruises
22,Hydrogogue,hydrogogue
22,cathartic,cathartic
22,purgative,purgative
22,ascities,ascities
22,jaundice,jaundice
22,uterine problems,uterine problems
22,amenorrhoea,amenorrhoea
22,uterine problems,uterine problems
22,amenorrhoea,amenorrhoea
22,abdominal problems,abdominal problems
22,rheumatism,rheumatism
22,cough,cough
22,asthma,asthma
22,breast inflammation,breast inflammation
22,hair tonic,hair tonic
22,snakebite,snakebite
22,dysentery,dysentery
22,diarrhoea,diarrhoea
22,epilepsy.,epilepsy
23,Aphrodisiac,aphrodisiac
23,anthelmintic,anthelmintic
23,fever,fever
23,consumption,consumption
23,asthma,asthma
23,bronchitis,bronchitis
23,hiccup,hiccup
23,piles,piles
23,alexiteric,alexiteric
23,stomachic,stomachic
23,laxative,laxative
23,biliousness,biliousness
23,leprosy,leprosy
23,tumours,tumours
23,urinary discharges,urinary discharges
23,excessive salivation,excessive salivation
23,heart troubles,heart troubles
23,urinary calculi,urinary calculi
23,jaundice,jaundice
23,ulcers,ulcers
23,bowel complaints,bowel complaints
24,Dysurea,dysurea
25,Skin diseases,skin diseases
25,cold,cold
25,cough,cough
25,fever.,fever
26,Hyper acidity,hyper acidity
26,Tetanus.,tetanus
27,Paralysis,paralysis
27,intermittent fever,intermittent fever
27,epilepsy,epilepsy
27,hysteria,hysteria
27,rhuematism,rhuematism
27,articular pains,articular pains
27,affection of theliver and speen,affection of theliver and speen
27,stimulant,stimulant
27,stomach upset,stomach upset
27,colic,colic
27,flatulence,flatulence
27,gout,gout
27,hyper tension,hyper tension
27,impotence,impotence
27,jaundice,jaundice
27,lumbago,lumbago
27,neuralgia,neuralgia
27,oedema,oedema
27,sleenomegaly,sleenomegaly
27,strangury,strangury
27,vo,vo
28,Ulcers,ulcers
28,dysentery,dysentery
28,blood purification,blood purification
28,abscesses,abscesses
28,abdominal pain,abdominal pain
28,astringent,astringent
28,oleagenous; biliousness,oleagenous; biliousness
28,stone in urinary tract,stone in urinary tract
28,acrid,acrid
28,bitter,bitter
28,cures blisters in mouth,cures blisters in mouth
28,wounds,wounds
28,ulcers,ulcers
28,diarrhoea,diarrhoea
28,aphthae,aphthae
28,sore throat,sore throat
28,coughs,coughs
28,dyspnoea,dyspnoea
28,hiccup,hiccup
28,intermittent,intermittent
29,Bronchitis,bronchitis
29,asthma,asthma
29,whooping cough.,whooping cough
30,Sexual tonic,sexual tonic
30,leucorrhoea.,leucorrhoea
31,Local pain,local pain
31,astringent,astringent
31,bowels,bowels
31,cough,cough
31,bronchitis,bronchitis
31,diarrhoea,diarrhoea
31,dysentery,dysentery
31,biliousness,biliousness
31,burning sensat,burning sensat
32,Mumps,mumps
33,Wounds,wounds
33,fistula,fistula
33,dysentery,dysentery
33,piles,piles
33,Jaundice,jaundice
33,boils,boils
33,bronchitis,bronchitis
33,gastric tumor,gastric tumor
33,gonorrhoea,gonorrhoea
33,gout,gout
33,hys,hys
34,Fever,fever
34,paralysis,paralysis
34,headache,headache
34,stomach pain,stomach pain
34,itch,itch
34,blood dysentery,blood dysentery
34,diarrhoea,diarrhoea
34,hyper acidity,hyper acidity
34,irregular,irregular
35,Diabetes,diabetes
35,manstrual trouble,manstrual trouble
35,menopause,menopause
35,vertigo,vertigo
35,dysentery,dysentery
35,bronchitis,bronchitis
35,asthma,asthma
35,consumption,consumption
35,ascites,ascites
36,Abdominal pain,abdominal pain
36,asthma,asthma
36,bronchitis,bronchitis
36,cough,cough
36,gastric ulcers,gastric ulcers
36,Jaundice,jaundice
36,anaemia,anaemia
36,ill health,ill health
36,lumps in t,lumps in t
37,Weakness,weakness
37,nervine tonic,nervine tonic
37,skin disease,skin disease
37,rheumatism,rheumatism
37,purgative,purgative
37,emmenagogue,emmenagogue
37,fever,fever
37,cholera,cholera
37,diuretic,diuretic
38,Abortion,abortion
38,jaundice,jaundice
38,marasmus.,marasmus
39,Alexiteric,alexiteric
39,anthelmintic,anthelmintic
39,diuretic,diuretic
39,galactagogue,galactagogue
39,eye diseases,eye diseases
39,ringworm,ringworm
39,skin diseases.,skin diseases
