plant_index,source_query,bmpdd_query_name,parser_status,rows_extracted,rows_with_cid,rows_missing_cid
1,Piper betle L.,Piper betle,PASS,112,0,112
2,Piper cubeba Vahl,Piper cubeba,PASS,181,0,181
3,Berberis aristata DC.,Berberis aristata,ZERO_RESULTS,0,0,0
4,Papaver somniferum L.,Papaver somniferum,PASS,128,0,128
5,Artocarpus heterophyllus Lam.,Artocarpus heterophyllus,PASS,180,0,180
6,Ficus racemosa L.,Ficus racemosa,ZERO_RESULTS,0,0,0
7,Morus indica L.,Morus indica,ZERO_RESULTS,0,0,0
8,Juglans regia L.,Juglans regia,ZERO_RESULTS,0,0,0
9,Boerhavia diffusa L.,Boerhavia diffusa,PASS,57,53,4
10,Boerhavia repens L.,Boerhavia repens,ZERO_RESULTS,0,0,0
11,Mirabilis jalapa L.,Mirabilis jalapa,ZERO_RESULTS,0,0,0
12,Opuntia dellenii (Ker Gawl.) Haw.,Opuntia dellenii,ZERO_RESULTS,0,0,0
13,Achyranthes aspera L.,Achyranthes aspera,PASS,32,22,10
14,Plumbago indica L.,Plumbago indica,PASS,28,0,28
15,Vateria indica L.,Vateria indica,ZERO_RESULTS,0,0,0
16,Mesua ferrea L.,Mesua ferrea,PASS,133,133,0
17,Helicteres isora L.,Helicteres isora,ZERO_RESULTS,0,0,0
18,Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus,ZERO_RESULTS,0,0,0
19,Gossypium arboreum L.,Gossypium arboreum,ZERO_RESULTS,0,0,0
20,Viola odorata L.,Viola odorata,ZERO_RESULTS,0,0,0
21,Benincasa hispida (Thunb.) Cogn.,Benincasa hispida,PASS,66,63,3
22,Citrullus colocynthis (L.) Schard.,Citrullus colocynthis,ZERO_RESULTS,0,0,0
23,Momordica dioica Roxb. ex Willd.,Momordica dioica,ZERO_RESULTS,0,0,0
24,Mukia maderaspatana (L.) M. Roem,Mukia maderaspatana,ZERO_RESULTS,0,0,0
25,Brassica juncea (L.) Czern.,Brassica juncea,ZERO_RESULTS,0,0,0
26,Raphanus raphanistrum subsp. SATIVUS(L.) Domin.,Raphanus raphanistrum subsp. SATIVUS,ZERO_RESULTS,0,0,0
27,Moringa oleifera Lam.,Moringa oleifera,PASS,272,235,37
28,Diospyros malabarica(desr.) Kostel.,Diospyros malabarica,PASS,34,33,1
29,Cydonia oblonga Mill.,Cydonia oblonga,ZERO_RESULTS,0,0,0
30,Prunus amygdalus Stokes,Prunus amygdalus,ZERO_RESULTS,0,0,0
31,Acacia nilotica (L.) Delile subsp. INDICA(Benth) Brenan,Acacia nilotica subsp. INDICA,ZERO_RESULTS,0,0,0
32,Entada phaseoloides (L.) Merr.,Entada phaseoloides,ZERO_RESULTS,0,0,0
33,Mimosa pudica L.,Mimosa pudica,ZERO_RESULTS,0,0,0
34,Saraca asoca (Roxb.) Wild.,Saraca asoca,PASS,30,0,30
35,Clitoria ternatea L.,Clitoria ternatea,PASS,53,46,7
36,Glycyrrhiza glabra L.,Glycyrrhiza glabra,ZERO_RESULTS,0,0,0
37,Mucuna pruriens (L.) DC.,Mucuna pruriens,ZERO_RESULTS,0,0,0
38,Pterocarpus SANTALINUS L. f.,Pterocarpus SANTALINUS,PASS,36,0,36
39,Sesbania bispinosa (Jacq.) W.Wight,Sesbania bispinosa,ZERO_RESULTS,0,0,0
40,Sesbania grandiflora (L.) Poir,Sesbania grandiflora,ZERO_RESULTS,0,0,0
41,Sesbania sesban (L.) Merr.,Sesbania sesban,ZERO_RESULTS,0,0,0
42,Trigonella foenum-graeceum L.,Trigonella foenum-graeceum,ZERO_RESULTS,0,0,0
43,Lagerstroemia speciosa(l.) Pers.,Lagerstroemia speciosa,PASS,115,87,28
44,Eucalyptus globulus Labill,Eucalyptus globulus,ZERO_RESULTS,0,0,0
45,Mentha arvensis L.,Mentha arvensis,ZERO_RESULTS,0,0,0
46,Mentha spicata L.,Mentha spicata,ZERO_RESULTS,0,0,0
47,Pogostemon PUBESCENS Benth.,Pogostemon PUBESCENS,ZERO_RESULTS,0,0,0
48,Rhinacanthus nasutus (L.) Kurz,Rhinacanthus nasutus,ZERO_RESULTS,0,0,0
