plant_index,raw_mpbd_name,name_pattern,candidate_query,raw_query_url,raw_status,raw_rows,candidate_query_url,candidate_status,candidate_rows,candidate_rows_with_cid,candidate_rows_missing_cid,candidate_decision
1,Piper betle L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Piper betle,https://bmppd.org/bmppd_result/?q=Piper+betle+L.,ZERO_RESULTS,0,https://bmppd.org/bmppd_result/?q=Piper+betle,PASS,112,0,112,IMPROVED_MATCH
2,Piper cubeba Vahl,SIMPLE_BINOMIAL_WITH_AUTHORITY,Piper cubeba,https://bmppd.org/bmppd_result/?q=Piper+cubeba+Vahl,ZERO_RESULTS,0,https://bmppd.org/bmppd_result/?q=Piper+cubeba,PASS,181,0,181,IMPROVED_MATCH
3,Berberis aristata DC.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Berberis aristata,https://bmppd.org/bmppd_result/?q=Berberis+aristata+DC.,ZERO_RESULTS,0,https://bmppd.org/bmppd_result/?q=Berberis+aristata,ZERO_RESULTS,0,0,0,UNCHANGED_ZERO
4,Papaver somniferum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Papaver somniferum,https://bmppd.org/bmppd_result/?q=Papaver+somniferum+L.,ZERO_RESULTS,0,https://bmppd.org/bmppd_result/?q=Papaver+somniferum,PASS,128,0,128,IMPROVED_MATCH
5,Artocarpus heterophyllus Lam.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Artocarpus heterophyllus,https://bmppd.org/bmppd_result/?q=Artocarpus+heterophyllus+Lam.,ZERO_RESULTS,0,https://bmppd.org/bmppd_result/?q=Artocarpus+heterophyllus,PASS,180,0,180,IMPROVED_MATCH
6,Ficus racemosa L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Ficus racemosa,https://bmppd.org/bmppd_result/?q=Ficus+racemosa+L.,ZERO_RESULTS,0,https://bmppd.org/bmppd_result/?q=Ficus+racemosa,ZERO_RESULTS,0,0,0,UNCHANGED_ZERO
7,Morus indica L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Morus indica,https://bmppd.org/bmppd_result/?q=Morus+indica+L.,ZERO_RESULTS,0,https://bmppd.org/bmppd_result/?q=Morus+indica,ZERO_RESULTS,0,0,0,UNCHANGED_ZERO
8,Juglans regia L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Juglans regia,https://bmppd.org/bmppd_result/?q=Juglans+regia+L.,ZERO_RESULTS,0,https://bmppd.org/bmppd_result/?q=Juglans+regia,ZERO_RESULTS,0,0,0,UNCHANGED_ZERO
9,Boerhavia diffusa L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Boerhavia diffusa,https://bmppd.org/bmppd_result/?q=Boerhavia+diffusa+L.,ZERO_RESULTS,0,https://bmppd.org/bmppd_result/?q=Boerhavia+diffusa,PASS,57,53,4,IMPROVED_MATCH
10,Boerhavia repens L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Boerhavia repens,https://bmppd.org/bmppd_result/?q=Boerhavia+repens+L.,ZERO_RESULTS,0,https://bmppd.org/bmppd_result/?q=Boerhavia+repens,ZERO_RESULTS,0,0,0,UNCHANGED_ZERO
