plant_index,raw_scientific_name,candidate_bmppd_query,name_pattern,candidate_status,transformation_notes
26,Raphanus raphanistrum subsp. SATIVUS(L.) Domin.,Raphanus raphanistrum subsp. SATIVUS,INFRASPECIFIC_SUBSP,SAFE_CANDIDATE,"Preserved species binomial, subsp. rank, and infraspecific epithet; stripped parenthetical/combining authors."
31,Acacia nilotica (L.) Delile subsp. INDICA(Benth) Brenan,Acacia nilotica subsp. INDICA,INFRASPECIFIC_SUBSP,SAFE_CANDIDATE,"Preserved species binomial, subsp. rank, and infraspecific epithet; stripped parenthetical/combining authors."
38,Pterocarpus SANTALINUS L. f.,Pterocarpus SANTALINUS,MULTI_AUTHOR_OR_COMPLEX,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
67,Semecarpus anacardium L. F.,Semecarpus anacardium,MULTI_AUTHOR_OR_COMPLEX,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
77,Strychnos potatorum L. f.,Strychnos potatorum,MULTI_AUTHOR_OR_COMPLEX,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
93,Abroma AUGUSTA (L.) L.f.,Abroma AUGUSTA,BINOMIAL_PARENTHETICAL_AUTHORITY,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
96,Acacia CATECHU (L.f.) Willd.,Acacia CATECHU,BINOMIAL_PARENTHETICAL_AUTHORITY,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
112,Adiantum LUNULATUM Burm. F.,Adiantum LUNULATUM,MULTI_AUTHOR_OR_COMPLEX,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
117,Alangium SALVIFOLIUM (L. f.) Wang.,Alangium SALVIFOLIUM,BINOMIAL_PARENTHETICAL_AUTHORITY,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
120,Albizia ODORATISSIMA (L. f.) Benth.,Albizia ODORATISSIMA,BINOMIAL_PARENTHETICAL_AUTHORITY,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
146,Dregea volubilis (L.f.) Benth. ex Hook.f.,Dregea volubilis,BINOMIAL_PARENTHETICAL_AUTHORITY,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
148,Vitex TRIFOLIA L. f.,Vitex TRIFOLIA,MULTI_AUTHOR_OR_COMPLEX,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
160,Uvaria HAMILTONII Hook. f. & Thom.,Uvaria HAMILTONII,MULTI_AUTHOR_OR_COMPLEX,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
168,Tylophora INDICA (Burm.f.) Merr.,Tylophora INDICA,BINOMIAL_PARENTHETICAL_AUTHORITY,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
180,Trapa natans var. bispinosa (Roxb.) Makino,Trapa natans var. bispinosa,INFRASPECIFIC_VAR,SAFE_CANDIDATE,"Preserved species binomial, var. rank, and varietal epithet; stripped species author and varietal author."
197,Tectona grandis L.f.,Tectona grandis,SIMPLE_BINOMIAL_WITH_AUTHORITY,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
214,Stereospermum chelonoides (L.f.) DC.,Stereospermum chelonoides,BINOMIAL_PARENTHETICAL_AUTHORITY,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
221,Spondias PINNATA (L.f.) Kurz.,Spondias PINNATA,BINOMIAL_PARENTHETICAL_AUTHORITY,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
239,Sida CORDATA (Burm. f. ) Borssum.,Sida CORDATA,BINOMIAL_PARENTHETICAL_AUTHORITY,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
240,Sida ACUTA Burm. f.,Sida ACUTA,MULTI_AUTHOR_OR_COMPLEX,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
248,Semecarpus ANACARDIUM L.f.,Semecarpus ANACARDIUM,SIMPLE_BINOMIAL_WITH_AUTHORITY,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
252,Schoenoplectus GROSSUS (L.f.) Palla.,Schoenoplectus GROSSUS,BINOMIAL_PARENTHETICAL_AUTHORITY,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
298,Pogostemon BENGHALENSE (Burm.f.) Kuntze.,Pogostemon BENGHALENSE,BINOMIAL_PARENTHETICAL_AUTHORITY,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
344,Ophiorrhiza rugosa VAR. PROSTRATA (D.Don) Deb & Mondal.,Ophiorrhiza rugosa var. PROSTRATA,INFRASPECIFIC_VAR,SAFE_CANDIDATE,"Preserved species binomial, var. rank, and varietal epithet; stripped species author and varietal author."
