plant_index,raw_scientific_name,name_pattern,candidate_bmppd_query,candidate_status,transformation_notes
1,Piper betle L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Piper betle,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
2,Piper cubeba Vahl,SIMPLE_BINOMIAL_WITH_AUTHORITY,Piper cubeba,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
3,Berberis aristata DC.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Berberis aristata,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
4,Papaver somniferum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Papaver somniferum,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
5,Artocarpus heterophyllus Lam.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Artocarpus heterophyllus,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
6,Ficus racemosa L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Ficus racemosa,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
7,Morus indica L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Morus indica,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
8,Juglans regia L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Juglans regia,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
9,Boerhavia diffusa L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Boerhavia diffusa,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
10,Boerhavia repens L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Boerhavia repens,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
11,Mirabilis jalapa L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Mirabilis jalapa,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
12,Opuntia dellenii (Ker Gawl.) Haw.,BINOMIAL_PARENTHETICAL_AUTHORITY,Opuntia dellenii,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
13,Achyranthes aspera L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Achyranthes aspera,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
14,Plumbago indica L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Plumbago indica,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
15,Vateria indica L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Vateria indica,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
16,Mesua ferrea L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Mesua ferrea,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
17,Helicteres isora L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Helicteres isora,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
18,Abelmoschus esculentus (L.) Moench,BINOMIAL_PARENTHETICAL_AUTHORITY,Abelmoschus esculentus,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
19,Gossypium arboreum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Gossypium arboreum,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
20,Viola odorata L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Viola odorata,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
21,Benincasa hispida (Thunb.) Cogn.,BINOMIAL_PARENTHETICAL_AUTHORITY,Benincasa hispida,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
22,Citrullus colocynthis (L.) Schard.,BINOMIAL_PARENTHETICAL_AUTHORITY,Citrullus colocynthis,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
23,Momordica dioica Roxb. ex Willd.,MULTI_AUTHOR_OR_COMPLEX,Momordica dioica,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
24,Mukia maderaspatana (L.) M. Roem,BINOMIAL_PARENTHETICAL_AUTHORITY,Mukia maderaspatana,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
