plant_index,source_query,bmpdd_query_name,plant_name,common_name,compound_name,pubchem_cid,reference_link,source_page_url,quality_flags,scrape_timestamp
1,Piper betle L.,Piper betle,Piper betle,Pan,(+)-Fenchone,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,(+)-alpha-Cadinene,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,(+)-beta-Phellandrene,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,(+)-delta-Cadinene,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,(+)-gamma-Cadinene,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,(+)-gamma-Gurjunene,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,(-)-beta-Bourbonene,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,"(1aR,4S,4aS,7R,7aS,7bR)-1,1,4,7-tetramethyl-2,3,4,5,6,7,7a,7b-octahydro-1aH-cyclopropa[h]azulen-4a-ol",,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,"(1r,3s,5r)-6,6-Dimethyl-2-methylidenebicyclo[3.1.1]heptan-3-ol",,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,"(S,1Z,6Z)-8-Isopropyl-1-methyl-5-methylenecyclodeca-1,6-diene",,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,(Z)-beta-Ocimene,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,(Z)-p-Menth-2-en-1-ol,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,"1,4,4-Trimethyl-8-methylene-1,5-cycloundecadiene",,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,1-Triacontanol,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,"2,6-Dimethyl-2,4,6-octatriene",,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,2-Undecanone,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,3-Carene,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,"4-Allyl-1,2-diacetoxybenzene",,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,"4-Allylbenzene-1,2-diol",,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,4-Allylphenol,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,4-Allylphenyl acetate,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
1,Piper betle L.,Piper betle,Piper betle,Pan,4-Carvomenthenol,,-,https://bmppd.org/bmppd_result/?q=Piper+betle,missing_pubchem_cid,2026-09-23T08:34:56.704752+00:00
