plant_name,common_name,compound_name,pubchem_cid,source_page_url,quality_flags
Azadirachta indica,"Margosa tree, Neem",(?) epicatech,,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid;uncertain_compound_name
Azadirachta indica,"Margosa tree, Neem","1,2,4-Oxadiazole, 3-(1,3-benzodioxol-5-yl)-5-[(4-iodo-1Hpyrazol-1-yl)methyl]-",,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem","1,5-Anhydro-2-deoxy-L-arabino-hex-1-enitol",,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem",1-napthyl acetoxy acetate,,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem",2-hexyl-tetrahydrothiophane,,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem","3-Acetoxy-24-methyl-5-cholest-5,22-dien-7-one",,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem",4-Fluorophenyl,,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem",Aromadendran,,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem",Margoloine,,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem","Methanoazulene, octahydro-3,6,8,8-tetramethyl-, [3R-(3a`,3aa´,6a`,7a´,8aa`)]-",,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem","Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-, [1R-(1a`,7a´,8aa`)]-",,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem",Nimbidin,,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem",Sodium nimbidate,,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem","Spiro[4.5]dec-7-ene, 1,8-dimethyl-4-(1-methylethenyl)-, [1S-(1a`,4a´,5a`)]-",,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem",Vitamin E,,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
Azadirachta indica,"Margosa tree, Neem","trans-13-Octadecenoic acid, methyl ester",,https://bmppd.org/bmppd_result/?q=Azadirachta+indica,missing_pubchem_cid
