scientific_name,synonym,family,source_page_url,scrape_timestamp
Piper betle L.,Chavica betle (L.) Miq. Betela mastica Raf. Chavica auriculata Miq. Piperi betlum (L.)St.-Lag.,Piperaceae,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
Piper cubeba Vahl,,Piperaceae,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
Berberis aristata DC.,BerberiscoccineaK.Koch BerberiselegansK.Koch BerberisgracilisLindl. BerberisumbellataLindl.,Berberidaceae,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
Papaver somniferum L.,,Papaveraceae,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
Artocarpus heterophyllus Lam.,Artocarpus brasiliensis Ortega Artocarpus maximus Blanco Artocarpus philippensis Lam.,Moraceae,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
Ficus racemosa L.,Ficus lanceolata Buch-Ham. exRoxb. Ficus acidula King Ficus chittagonga Miq. Ficus lucescens Blume,Moraceae,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
Morus indica L.,,Moraceae,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
Juglans regia L.,Juglans duclouxiana Dode Juglans fallax Dode Juglans orientis Dode Juglans sinensis (C.DC.) Dode,Juglandaceae,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
Boerhavia diffusa L.,Axiacochin chinensis Lour. Boerhavia adscendens Willd. Boerhavia caespitosa Ridl. Boerhavia friesi,Nyctaginaceae,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
Boerhavia repens L.,Boerhavia angustifolia Span. Boerhavia ascendens Schumach. Boerhavia maroccana Ball Boerhavia pol,Nyctaginaceae.,https://mpbd.cu.ac.bd/plants.php,2026-09-22T15:35:25.096843+00:00
Mirabilis jalapa L.,Nyctago jalapae (L.) DC. Mirabilislin dheimeri (Standl.) Shinners,Nyctaginaceae,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
Opuntia dellenii (Ker Gawl.) Haw.,Cactus chinensis Roxb. Cactus dillenii Ker Gawl. Cactus indicus Roxb. Opuntia melanosperma Svenson,Cactaceae.,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
Achyranthes aspera L.,Achyranthes acuminata E.Mey. ex Cooke & Wright Achyranthes grandifolia Moq.Cadelaria punctata Raf.,Amaranthaceae,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
Plumbago indica L.,Plumbago rosea L. Thela coccinea Lour.,Plumbaginaceae.,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
Vateria indica L.,,Dipterocarpaceae,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
Mesua ferrea L.,Mesua nagassarium(Burm. f.)Kosterm.,Clusiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
Helicteres isora L.,Helicteres grewiaefolia DC. Isora grewiaefolia (DC.) Schott & Endl. Ixora versicolor Hassk.,Sterculiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
Abelmoschus esculentus (L.) Moench,Abelmoschus officinalis(DC.) Endl. Abelmoschus longifolius(Willd.) Kostel. Hibiscus esculentusL.,Malvaceae,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
Gossypium arboreum L.,Gossypium albiflorum Tod. Gossypium asiaticum Raf. Gossypium rubrum Forssk. Gossypium roxburghii,Malvaceae,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
Viola odorata L.,Viola odorata f. odorata Viola wiedemannii Boiss.,Violaceae,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
Benincasa hispida (Thunb.) Cogn.,Benincasa cerifera Savi Benincasa vacua (F.Muell.) F.Muell. Cucurbita hispida Thunb. Cucurbita vi,Cucurbitaceae,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
Citrullus colocynthis (L.) Schard.,Citrullus colocynthoides Pangalo Citrullus pseudocolocynthis M.Roem. Colocynthis officinalis Schrad,Cucurbitaceae.,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
Momordica dioica Roxb. ex Willd.,Momordica hispida Dennst. ex Miq. Momordica roxburghii G. Don Momordica tuberosa Dennst. ex Miq.,Cucurbitaceae,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
Mukia maderaspatana (L.) M. Roem,Bryonia maderaspatana(L.) Lam. Cucumis maderaspatanus L. Melothria maderaspatana (L.) Cogn. Bryon,Cucurbitaceae,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
Brassica juncea (L.) Czern.,Brassica cernua (Thunb.) F.B. Forbes & Hemsl. Crucifera juncea E.H.L.Krause Sinapis juncea L. Sin,Brassicaceae,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
Raphanus raphanistrum subsp. SATIVUS(L.) Domin.,Raphanus sativus L. Raphani strumgayanum Fisch. & C.A.Mey. Raphanus chinensis Mill. Raphanus cand,Brassicaceae,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
Moringa oleifera Lam.,Guilandina moringa L. Hyperanthera moringa (L.) Vahl Moringa zeylanica Burmann.,Moringaceae,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
