plant_index,page_number,site_id,detail_url,scientific_name_master,scientific_name_listpage,name_match
1,1,4,https://mpbd.cu.ac.bd/details.php?id=4,Piper betle L.,Piper betle L.,True
2,1,5,https://mpbd.cu.ac.bd/details.php?id=5,Piper cubeba Vahl,Piper cubeba Vahl,True
3,1,6,https://mpbd.cu.ac.bd/details.php?id=6,Berberis aristata DC.,Berberis aristata DC.,True
4,1,7,https://mpbd.cu.ac.bd/details.php?id=7,Papaver somniferum L.,Papaver somniferum L.,True
5,1,8,https://mpbd.cu.ac.bd/details.php?id=8,Artocarpus heterophyllus Lam.,Artocarpus heterophyllus Lam.,True
6,1,9,https://mpbd.cu.ac.bd/details.php?id=9,Ficus racemosa L.,Ficus racemosa L.,True
7,1,10,https://mpbd.cu.ac.bd/details.php?id=10,Morus indica L.,Morus indica L.,True
8,1,11,https://mpbd.cu.ac.bd/details.php?id=11,Juglans regia L.,Juglans regia L.,True
9,1,12,https://mpbd.cu.ac.bd/details.php?id=12,Boerhavia diffusa L.,Boerhavia diffusa L.,True
10,1,13,https://mpbd.cu.ac.bd/details.php?id=13,Boerhavia repens L.,Boerhavia repens L.,True
11,2,14,https://mpbd.cu.ac.bd/details.php?id=14,Mirabilis jalapa L.,Mirabilis jalapa L.,True
12,2,15,https://mpbd.cu.ac.bd/details.php?id=15,Opuntia dellenii (Ker Gawl.) Haw.,Opuntia dellenii (Ker Gawl.) Haw.,True
13,2,16,https://mpbd.cu.ac.bd/details.php?id=16,Achyranthes aspera L.,Achyranthes aspera L.,True
14,2,17,https://mpbd.cu.ac.bd/details.php?id=17,Plumbago indica L.,Plumbago indica L.,True
15,2,18,https://mpbd.cu.ac.bd/details.php?id=18,Vateria indica L.,Vateria indica L.,True
16,2,19,https://mpbd.cu.ac.bd/details.php?id=19,Mesua ferrea L.,Mesua ferrea L.,True
17,2,20,https://mpbd.cu.ac.bd/details.php?id=20,Helicteres isora L.,Helicteres isora L.,True
18,2,21,https://mpbd.cu.ac.bd/details.php?id=21,Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus (L.) Moench,True
19,2,22,https://mpbd.cu.ac.bd/details.php?id=22,Gossypium arboreum L.,Gossypium arboreum L.,True
20,2,23,https://mpbd.cu.ac.bd/details.php?id=23,Viola odorata L.,Viola odorata L.,True
21,3,24,https://mpbd.cu.ac.bd/details.php?id=24,Benincasa hispida (Thunb.) Cogn.,Benincasa hispida (Thunb.) Cogn.,True
22,3,25,https://mpbd.cu.ac.bd/details.php?id=25,Citrullus colocynthis (L.) Schard.,Citrullus colocynthis (L.) Schard.,True
23,3,26,https://mpbd.cu.ac.bd/details.php?id=26,Momordica dioica Roxb. ex Willd.,Momordica dioica Roxb. ex Willd.,True
24,3,27,https://mpbd.cu.ac.bd/details.php?id=27,Mukia maderaspatana (L.) M. Roem,Mukia maderaspatana (L.) M. Roem,True
25,3,28,https://mpbd.cu.ac.bd/details.php?id=28,Brassica juncea (L.) Czern.,Brassica juncea (L.) Czern.,True
26,3,29,https://mpbd.cu.ac.bd/details.php?id=29,Raphanus raphanistrum subsp. SATIVUS(L.) Domin.,Raphanus raphanistrum subsp. SATIVUS(L.) Domin.,True
27,3,30,https://mpbd.cu.ac.bd/details.php?id=30,Moringa oleifera Lam.,Moringa oleifera Lam.,True
28,3,31,https://mpbd.cu.ac.bd/details.php?id=31,Diospyros malabarica(desr.) Kostel.,Diospyros malabarica(desr.) Kostel.,True
29,3,32,https://mpbd.cu.ac.bd/details.php?id=32,Cydonia oblonga Mill.,Cydonia oblonga Mill.,True
30,3,33,https://mpbd.cu.ac.bd/details.php?id=33,Prunus amygdalus Stokes,Prunus amygdalus Stokes,True
31,4,34,https://mpbd.cu.ac.bd/details.php?id=34,Acacia nilotica (L.) Delile subsp. INDICA(Benth) Brenan,Acacia nilotica (L.) Delile  subsp. INDICA(Benth) Brenan,False
32,4,35,https://mpbd.cu.ac.bd/details.php?id=35,Entada phaseoloides (L.) Merr.,Entada phaseoloides (L.) Merr.,True
33,4,36,https://mpbd.cu.ac.bd/details.php?id=36,Mimosa pudica L.,Mimosa pudica L.,True
34,4,37,https://mpbd.cu.ac.bd/details.php?id=37,Saraca asoca (Roxb.) Wild.,Saraca asoca (Roxb.) Wild.,True
35,4,38,https://mpbd.cu.ac.bd/details.php?id=38,Clitoria ternatea L.,Clitoria ternatea L.,True
36,4,39,https://mpbd.cu.ac.bd/details.php?id=39,Glycyrrhiza glabra L.,Glycyrrhiza glabra L.,True
37,4,40,https://mpbd.cu.ac.bd/details.php?id=40,Mucuna pruriens (L.) DC.,Mucuna pruriens (L.) DC.,True
38,4,41,https://mpbd.cu.ac.bd/details.php?id=41,Pterocarpus SANTALINUS L. f.,Pterocarpus   SANTALINUS L. f.,False
39,4,42,https://mpbd.cu.ac.bd/details.php?id=42,Sesbania bispinosa (Jacq.) W.Wight,Sesbania bispinosa (Jacq.) W.Wight,True
40,4,43,https://mpbd.cu.ac.bd/details.php?id=43,Sesbania grandiflora (L.) Poir,Sesbania grandiflora (L.) Poir,True
41,5,44,https://mpbd.cu.ac.bd/details.php?id=44,Sesbania sesban (L.) Merr.,Sesbania sesban (L.) Merr.,True
42,5,45,https://mpbd.cu.ac.bd/details.php?id=45,Trigonella foenum-graeceum L.,Trigonella foenum-graeceum L.,True
43,5,46,https://mpbd.cu.ac.bd/details.php?id=46,Lagerstroemia speciosa(l.) Pers.,Lagerstroemia speciosa(l.) Pers.,True
44,5,47,https://mpbd.cu.ac.bd/details.php?id=47,Eucalyptus globulus Labill,Eucalyptus globulus Labill,True
45,5,48,https://mpbd.cu.ac.bd/details.php?id=48,Mentha arvensis L.,Mentha arvensis L.,True
46,5,49,https://mpbd.cu.ac.bd/details.php?id=49,Mentha spicata L.,Mentha spicata L.,True
47,5,50,https://mpbd.cu.ac.bd/details.php?id=50,Pogostemon PUBESCENS Benth.,Pogostemon  PUBESCENS Benth.,False
48,5,51,https://mpbd.cu.ac.bd/details.php?id=51,Rhinacanthus nasutus (L.) Kurz,Rhinacanthus nasutus (L.) Kurz,True
49,5,52,https://mpbd.cu.ac.bd/details.php?id=52,Sesamum indicum L.,Sesamum indicum L.,True
50,5,53,https://mpbd.cu.ac.bd/details.php?id=53,Nelumbium speciosum Willd.,Nelumbium speciosum Willd.,True
51,6,54,https://mpbd.cu.ac.bd/details.php?id=54,Rubia cordifolia L.,Rubia cordifolia L.,True
52,6,55,https://mpbd.cu.ac.bd/details.php?id=55,Artemisia absinthium L.,Artemisia absinthium L.,True
53,6,56,https://mpbd.cu.ac.bd/details.php?id=56,Eclipta prostrata (L.) L.,Eclipta prostrata (L.) L.,True
54,6,57,https://mpbd.cu.ac.bd/details.php?id=57,Cyperus rotandus L.,Cyperus rotandus L.,True
55,6,58,https://mpbd.cu.ac.bd/details.php?id=58,Saccharum officinarum L.,Saccharum officinarum L.,True
