plant_index,site_id,detail_url,scientific_name_master,scientific_name_page,name_match,family_page,synonym_page,bangla_name,english_name,disease_raw,uses_raw,chemical_constituents_raw,habit,distribution_raw,description_raw,source_cache_file,http_status,scrape_timestamp,quality_flags
1,4,https://mpbd.cu.ac.bd/details.php?id=4,Piper betle L.,Piper betle L.,True,Piperaceae,Chavica betle  (L.) Miq. Betela mastica  Raf. Chavica auriculata  Miq. Piperi betlum  (L.)St.-Lag.,"Pan,Tambuli,Pandongma(Barma),Kowaingtak(Chak),Mra(Khumi),Rum(Murong).",Betel vine,"Stomach pain, carminative, stimulantion, antiseptic, astringent, boils, cold, fever, lice infestation,","The plant is used in Stomach pain, carminative, stimulant, antiseptic, astringent, boils, cold, fever, lice infestation, rabies.","Plant contains aterpinene, ?-cymene, carvacrol, chavicol and its derivatives, allyl catechol, eugenol, estragol, oxalic acid, malic acid and amino acids. Leaves contain good amount of vitamins particulary nicotinic acid, ascorbic acid and carotin. They al",Climber,,"Climbers dioecious. Stems rooted at nodes, thick, slightly woody. Petiole, very finely powdery pubescent.leaf blade ovate to ovate-oblong, apex acuminate; veins 7, base, usually opposite, others reticulate veins conspicuous. Spikes leaf-opposed. Male spikes nearly as long as leaf blades at anthesis; peduncle nearly as long as petioles; rachis pubescent; bracts orbicular or suborbicular, rarely obovate,  Stamens 2; filaments thick,; anthers reniform. Female spikes longer in fruit; rachis fleshy, densely pubescent.Ovary partly immersed in and connate to rachis, apex tomentose; stigmas usually 4 or 5, lanceolate, tomentose. Drupes fused to form terete, fleshy, reddish, compound fruit,. Fl. May-Jul.",b6cfbe69656deadec95715d2.html,200,2026-09-24T18:36:39.212066+00:00,encoding_loss_suspected
2,5,https://mpbd.cu.ac.bd/details.php?id=5,Piper cubeba Vahl,Piper cubeba Vahl,True,Piperaceae,,Copchini,,"Anal fissure, constipation, diarrhoea, dysmenorrhoea, fever, flatulence, heat stroke, hepatomegaly,","The plant is used in Anal fissure, constipation, diarrhoea, dysmenorrhoea, fever, flatulence, heat stroke, hepatomegaly, hiccup, hook worm infestation, hyper acidity, ill health, impotence, indigestion, jaundice, leucorrhoea, lumbago, malaria, painful mic","Thirteen compounds identified in oil from fresh bark; citral was major constituent. Essential oil from fruits contained cubebin, limonene, sabinene, methyltheptenone, citronellal and citrals.",,,,9d14eedbf35f45db6e367fdf.html,200,2026-09-24T18:38:05.569765+00:00,
3,6,https://mpbd.cu.ac.bd/details.php?id=6,Berberis aristata DC.,Berberis aristata DC.,True,Berberidaceae,BerberiscoccineaK.Koch   BerberiselegansK.Koch   BerberisgracilisLindl.   BerberisumbellataLindl.,Deshi Berbery,,"Constipation, carminative, ear diseases.","The plant is used in Constipation, carminative, ear diseases.","Root bark rich in alkaloid content, berberine principal alkaloid.",Shrub,,"It is characterized by an erect spiny shrub, ranging between 2 and 3 meters in height. It is a woody plant, with bark that appears yellow to brown from the outside and deep yellow from the inside. The bark is covered with three-branched thorns, which are modified leaves, and can be removed by hand in longitudinal strips. The leaves are arranged in tufts of 5-8 and are approximately 4.9 centimeters long and 1.8 centimeters broad. The leaves are deep green on the dorsal surface and light green on the ventral surface. The leaves are simple with pinnate venation. The leaves are leathery in texture and are toothed, with several to many small indentations along the margin of the leaf.",329395e2e59e30d3b1c02c9b.html,200,2026-09-24T18:38:06.669344+00:00,
4,7,https://mpbd.cu.ac.bd/details.php?id=7,Papaver somniferum L.,Papaver somniferum L.,True,Papaveraceae,,"Afing,Afim,Posto,Posto dana.","Opium poppy,Mawseed.","Asthma, cirorhosis, duodenal ulcer, eclampsia, gastric tumor, gynaecological disease, piles, stomach","The plant is used in Asthma, cirorhosis, duodenal ulcer, eclampsia, gastric tumor, gynaecological disease, piles, stomach disorder.","Sap contains oxalic acid and opium contains some 25 alkaloids, the chief being morphine, codeine, thebaine, narcotine, riarceine, rioscapine and papaverine. Poppy seed oil is a drying oil. It dries much slower and more uniformly than linseed oil. Meconic",,This  species found throughout  Bangladesh.,"Stems simple or branching. Leaves to 30 cm; blade sometimes sparsely setose abaxially on midrib; margins usually shallowly to deeply toothed. Inflorescences: peduncle often sparsely setose. Flowers: petals white, pink, red, or purple, often with dark or pale basal spot ,anthers pale yellow; stigmas 5-18, disc ± flat. Capsules stipitate, subglobose, not ribbed, glaucous.",fc99991778c132f767b8bc6d.html,200,2026-09-24T18:38:08.081308+00:00,
5,8,https://mpbd.cu.ac.bd/details.php?id=8,Artocarpus heterophyllus Lam.,Artocarpus heterophyllus Lam.,True,Moraceae,Artocarpus brasiliensis  Ortega Artocarpus maximus  Blanco Artocarpus philippensis  Lam.,": Kanthal, Ludoo(Bawm),Hattol(Chakma),Panaingci(Chak),Teprong(Garo), Thibrong(Garo),Latmoui(Murong),","Jaca tree,Jack-Fruit,Jack wood.","Skin diseases, diarrhoea, lactopenia, polymenorrhoea, rash, stomachache, toothache.","The plant is used in Skin diseases, diarrhoea, lactopenia, polymenorrhoea, rash, stomachache, toothache.","Fruit is a rich source of carbohydrates and essential amino acids. Latex from fruits contains cycloartenone, cycloartenol, ?-sitosterol, tyrosine, valine. Cycloarteny acetate, cycloartenol and cycloartenone from bark. ?-sitosterol, betuhnic and ursolic ac",Tree,This  species found throughout  Bangladesh.,"Evergreen trees , bark thick, blackish-grey, mottled with green and black; exudation milky white latex; trunk with warty tubercles; leaves simple, alternate; stipules long, lateral, ovate-lanceolate, sheathing, glabrous, cauducous; petiole stout, grooved above, glabrous; lamina  obovate, obovate-oblong, or elliptic-ovate, base acute, round or cuneate, apex acute or obtuse, margin entire; flowers unisexual, minute, yellowish-green, in spikes enclosed by spathe-like bracts, male from young branches, catkin narrow-cylindric; perianth 2-lobed, puberulous; stamen 1; filament somewhat flattened, stout; anthers ovate-oblong; female catkins from the trunk and mature branches; ovary, superior, globose-obovoid; style exserted; stigma spathulate. fruit a sorosis oblong, tuberculate, tubercles conical yellowish-green, fruiting perianth yellow to light orange, fleshy; seeds elliptic-oblong, smooth, glossy.",1ac3f0231c23ca8e1b3f0c2d.html,200,2026-09-24T18:38:09.129091+00:00,encoding_loss_suspected
6,9,https://mpbd.cu.ac.bd/details.php?id=9,Ficus racemosa L.,Ficus racemosa L.,True,Moraceae,Ficus lanceolata  Buch-Ham. exRoxb. Ficus acidula  King Ficus chittagonga  Miq. Ficus lucescens  Blume,"Jaga Dumur,Gulang Dumur,jog Dumur TRIBAL NAME: Zoigga Dumur(Chakma),Koudra-               phang(Garo","Cluster Fig,Indian Fig,Red wood Fig.","Diarrhoea, dysentery, menorrhagia, bronchitis, dry cough, sexual weakness, urinary trouble, diabetes","The plant is used in Diarrhoea, dysentery, menorrhagia, bronchitis, dry cough, sexual weakness, urinary trouble, diabetes, cirorhosis, piles, asthma, astringent, stomachic, carminative, haemoptysis, diseases of kidney and spleen, bowels, tonic, styptic, a","Bark, ceryl behenate, lupeol, ?-amyrin and 3 unidentified compounds. Fruit, lupeol-oac, ?-sitosterol, sterol and glauanol. Leaves, gluanol-oac,?-amyrin and ?-sitosterol. A glycoside-rich fraction from leaves reported to have hypotensive and cardiac-depres",Tree,This  species found throughout  Bangladesh.,"A small to large, evergreen or occasionally deciduous tree. Trunk with spreading brand with or without aerial roots, bark whitish to pinkish-brawn, smooth, young twigs with fine white pubescence. Leaves grooved minutely hairy, brownish-scurfy petiole; lamina ovate-lanceolate to ± elliptic-lanceolate, ± oblique base, margin entire to ± used obtuse or subacute to occasionally ± acuminate at apex. Hypanthodia on long peduncles. Male flowers: sessile, ostiolar in 23-whorls; red; stamens usually 2, pistillode present. Female flowers: sessile or subsessile. sepals as in male; ovary substipitate, with lateral, glabrous style, stigma simple. Gall flowers pedicellate, dispersed among female. Figs depressed subglobose or pyriform red, usually streaked. Seeds lenticular.",4e1f1667f6f92c37b369d56f.html,200,2026-09-24T18:38:10.320150+00:00,encoding_loss_suspected
7,10,https://mpbd.cu.ac.bd/details.php?id=10,Morus indica L.,Morus indica L.,True,Moraceae,,Deshi tut,,"Inflammation and thickening of the vocal cords, cooling, laxative, allay thirst, fevers, burning sensations, vermifuge, purgative, anthelmintic, astringent.","The plant is used in Inflammation and thickening of the vocal cords, cooling, laxative, allay thirst, fevers, burning sensations, vermifuge, purgative, anthelmintic, astringent.",Plant contains mulberin and muiberrochromene,Tree,This  species found throughout  Bangladesh.,"The trees are generally deciduous in temperate regions, but trees grown in tropical regions can be evergreen.On young, vigorous shoots, the leaves may be long, and deeply and intricately lobed, with the lobes rounded. On older trees, the leaves are generally long, unlobed, cordate at the base and rounded to acuminate at the tip, and serrated on the margins.  The flowers are single-sex catkins; male catkins are 2–3.5 cm long, and female catkins 1–2 cm long. Male and female flowers are usually on separate trees although they may occur on the same tree. The fruit is 1–2.5 cm long; in the species in the wild it is deep purple, but in many cultivated plants it varies from white to pink; it is sweet but bland, The seeds are widely dispersed by birds, which eat the fruit and excrete the seeds.",bcf793d5fd2ebb57af6c2aa5.html,200,2026-09-24T18:38:11.798219+00:00,
8,11,https://mpbd.cu.ac.bd/details.php?id=11,Juglans regia L.,Juglans regia L.,True,Juglandaceae,Juglans duclouxiana  Dode Juglans fallax  Dode Juglans orientis  Dode Juglans sinensis  (C.DC.) Dode,Akrut,,"Insomnia, sexual weakness.","The plant is used in Insomnia, sexual weakness.","Cysteine, tryptophan,thiamin, ribiflavin, nicotinic acid, pantothenic acid,folic acid, vitamin B6, biotin, vitamin A, ascorbic acid are found in the leaves and fruits. Kernels yield 60-70% of a drying oil known as Walnut Oil.Fresh ‘eaves and unripe fruit",Tree,,"The plant is Deciduous. Young shoots tomentose. Leaves impa¬ripinnate, softly tomentose, opposite to sub-opposite, ovate to elliptic-ovate, acute to acuminate, glab¬rescent to pubescent on nerves beneath; Male catkins , lateral; bracteoles ovate to obovate, pubescent; tepals 4, ovate; stamens 10-20, subsessile; anthers irregularly apiculate, basifixed, dehiscing longitudinally. Female flowers 1-3, terminal on short spikes; involucral tube of fused bract and bracteoles, tomentose, glandular, obscurely 4-toothed and irregular at the margin; tepals 4, linear,alternating with the teeth; margin sparsely pubescent; ovary ovoid, inferior; stigmas 2, recurved, plumose to fimbriate, exserted. Drupe ovoid to subglobose; epicarp green, glandular; endocarp 2-valved; seed 2 to 4-lobed at the base.",8ef3b8ba651281e5a87cd599.html,200,2026-09-24T18:38:13.050235+00:00,
9,12,https://mpbd.cu.ac.bd/details.php?id=12,Boerhavia diffusa L.,Boerhavia diffusa L.,True,Nyctaginaceae,Axiacochin chinensis  Lour. Boerhavia adscendens  Willd. Boerhavia caespitosa  Ridl. Boerhavia friesi,"Punarnava,Gandhapurna,Swetpurna,Proynoa(Marma),Perunoa(Murong),Krow-naa-row(Rakhain).","Spreedling hogweed,Pigweed.","Diuretic, anasarca and dropsy","The plant is used in Diuretic, in anasarca and dropsy.","Hentriacontane, ?-sitosterol, ursolic acid, punarnavine-1 & -2, myricyl alcohol, myristic acid, oxalic acid and alkaloids. Polysaccharide consisting of glucose, xylose, glucuronic acid, gaictose, L-arabinose and Lrhamnose; and a glycoprotein. An injection",Herb,This  species found throughout  Bangladesh.,"Herbs perennial; stems glabrous or sparsely pubescent. Roots thick, fleshy; leaf blade ovate, both surfaces sparsely pubescent, abaxially gray-yellow, wrinkled when dry, base rounded or cuneate, margin undulate, with stout, muticellular hairs, apex obtuse or acute. Inflorescences terminal, capitate-cymose panicles; peduncle slender, sparsely pubescent. Pedicel short to almost absent. Bracts small, lanceolate, pubescent. Perianth limb bright purple or purple-red. Stamens 1-3(-5), slightly exserted or included. Anthocarp clavate,  5-ribbed, with viscid glands and sparse pubescence, apex rounded. Fl. and fr. spring-autumn.",e45e1932a833c0bc1add84ff.html,200,2026-09-24T18:38:14.509855+00:00,encoding_loss_suspected
10,13,https://mpbd.cu.ac.bd/details.php?id=13,Boerhavia repens L.,Boerhavia repens L.,True,Nyctaginaceae.,Boerhavia angustifolia  Span. Boerhavia ascendens  Schumach. Boerhavia maroccana  Ball Boerhavia pol,Payanava.,,"Diuretic,  anasarca and dropsy","The plant is  used in Diuretic, in anasarca and dropsy.","Hentriacontane, ?-sitosterol, ursolic acid, punarnavine-1 & -2, myricyl alcohol, myristic acid, oxalic acid and alkaloids. Polysaccharide consisting of glucose, xylose, glucuronic acid, gaictose, L-arabinose and Lrhamnose; and a glycoprotein. An injection",Herb,This  species found throughout  Bangladesh.,"Herbs ephemeral to perennial. Stems prostrate, radiating from taproot, most parts eglandular-puberulent. Petiole to 1 cm; leaf blade, abaxially conspicuously pale, base rounded to cuneate, margin entire, apex rounded to subacute. Inflorescences mostly axillary, 2-5-flowered umbels, sometimes gathered into cymes. Pedicel to 1 mm. Perianth limb white, pink, or pale purple. Stamens (1 or)2(or 3). Anthocarp clavate, 5-ribbed, sparsely puberulent, sometimes with ± sessile glands.",c76a9eec352fd2d9b2fa4021.html,200,2026-09-24T18:38:15.642321+00:00,encoding_loss_suspected
